organ,count
spinal_cord,24124
autochthon_left,23900
autochthon_right,23895
trachea,23887
lung_upper_lobe_right,23883
esophagus,23883
scapula_right,23882
lung_upper_lobe_left,23881
clavicula_right,23881
scapula_left,23881
vertebrae_T3,23877
clavicula_left,23877
aorta,23875
costal_cartilages,23874
rib_left_3,23874
lung_lower_lobe_left,23874
lung_lower_lobe_right,23873
vertebrae_T1,23873
rib_right_3,23872
vertebrae_T2,23872
rib_right_4,23872
sternum,23871
rib_left_4,23871
rib_left_5,23871
rib_right_5,23871
rib_right_6,23870
rib_left_6,23870
vertebrae_T4,23870
heart,23870
vertebrae_T5,23869
rib_left_7,23869
rib_right_7,23868
lung_middle_lobe_right,23868
vertebrae_T7,23868
common_carotid_artery_left,23867
vertebrae_T6,23867
superior_vena_cava,23867
vertebrae_T8,23865
rib_right_8,23865
rib_left_8,23865
thyroid_gland,23864
pulmonary_vein,23863
liver,23862
rib_right_9,23860
vertebrae_T9,23860
rib_left_9,23860
subclavian_artery_left,23858
inferior_vena_cava,23858
vertebrae_T10,23853
brachiocephalic_vein_right,23852
rib_right_2,23852
brachiocephalic_vein_left,23852
stomach,23852
rib_left_10,23851
rib_right_10,23851
subclavian_artery_right,23847
vertebrae_T11,23845
rib_left_2,23842
common_carotid_artery_right,23842
rib_right_1,23841
brachiocephalic_trunk,23840
rib_left_1,23839
rib_right_11,23829
rib_left_11,23826
spleen,23821
atrial_appendage_left,23815
humerus_left,23806
humerus_right,23802
vertebrae_T12,23764
pancreas,23722
adrenal_gland_right,23719
vertebrae_C7,23687
adrenal_gland_left,23586
portal_vein_and_splenic_vein,23423
kidney_left,23286
colon,23182
rib_right_12,23054
rib_left_12,23005
vertebrae_L1,22831
kidney_right,22738
duodenum,22453
iliopsoas_right,21906
small_bowel,21670
iliopsoas_left,21369
gallbladder,21336
vertebrae_L2,18210
vertebrae_C6,17597
skull,9937
vertebrae_L3,7802
vertebrae_C5,6582
hip_left,1923
vertebrae_L4,1312
vertebrae_C4,1141
hip_right,930
kidney_cyst_right,886
brain,645
kidney_cyst_left,643
vertebrae_C3,470
sacrum,401
vertebrae_C2,367
vertebrae_C1,367
urinary_bladder,296
femur_left,250
vertebrae_L5,201
iliac_artery_right,160
iliac_artery_left,146
femur_right,114
gluteus_maximus_left,110
iliac_vena_left,82
gluteus_medius_right,73
gluteus_medius_left,63
iliac_vena_right,59
vertebrae_S1,56
gluteus_maximus_right,34
prostate,25
gluteus_minimus_left,20
gluteus_minimus_right,14
