Epoch,lung_loss,liver_loss,aorta_loss
0,0.7962,0.7198,0.7329
1,0.8139,0.7169,0.7081
2,1.4149,0.7016,0.7125
3,0.6664,0.7258,0.6692
4,0.8312,0.6806,0.6773
5,0.741,0.6864,0.7826
6,0.6896,0.6904,0.7897
7,0.7637,0.6736,0.6904
8,0.7198,0.6595,0.6915
9,0.6977,0.6553,0.7363
10,0.6872,0.7093,0.7057
11,0.7111,0.6827,0.6889
12,0.6872,0.6551,0.7129
13,0.7061,0.6681,0.7097
14,0.6931,0.7281,0.7159
15,0.6986,0.6834,0.7412
16,0.7186,0.6561,0.6915
17,0.6891,0.7419,0.7074
18,0.7553,0.6703,0.7039
19,0.717,0.635,0.7023
20,0.7098,0.616,0.7055
21,0.7002,0.6351,0.7007
22,0.7096,0.5849,0.6752
23,0.6885,0.5306,0.712
24,0.6823,0.4729,0.7076
25,0.6571,0.4526,0.6946
26,0.6548,0.2426,0.6505
27,0.677,0.0844,0.6973
28,0.7436,0.0264,0.6031
29,0.7236,0.0014,0.5165
30,0.4985,0.0003,0.4234
31,0.6283,0.0001,0.506
32,0.175,0.0,0.1612
33,0.0163,0.0,0.0742
34,0.161,0.0,0.039
35,0.0017,0.0,0.0022
36,0.0083,0.0,0.0008
37,1.6385,0.0,0.0002
38,0.0001,0.0,0.0003
39,0.0001,0.1969,0.0019
40,0.0,0.7049,0.001
41,0.0,0.0,0.0027
42,0.0,0.4168,0.0173
43,0.0011,1.8736,0.0018
44,1.7045,0.0802,0.3436
45,0.0202,0.0006,0.011
46,0.0329,0.0023,0.3927
47,0.1661,0.0013,0.2542
48,0.0602,0.0,0.0763
49,0.0024,0.0,0.0089
50,0.0013,0.0,0.0049
51,0.0018,0.0,0.0047
52,0.0038,0.0,0.0132
53,0.002,0.0,0.1101
54,0.0017,0.0,0.0273
55,0.0024,0.0,0.0764
56,0.0005,0.0,0.0007
57,0.0007,0.0,0.0059
58,0.0001,0.0,0.001
59,0.0002,0.0,0.0003
60,0.0002,0.0,0.0001
61,0.0002,0.0,0.0
62,0.0002,0.0,0.0
63,0.0006,0.0,0.0
64,0.0002,0.0,0.0001
65,0.0001,0.0,0.0
66,0.0001,0.0,0.0
