Epoch,Overall_Loss
0,2.2489
1,2.2389
2,2.829
3,2.0614
4,2.1892
5,2.21
6,2.1697
7,2.1277
8,2.0709
9,2.0893
10,2.1022
11,2.0827
12,2.0552
13,2.0839
14,2.1372
15,2.1233
16,2.0662
17,2.1384
18,2.1295
19,2.0544
20,2.0313
21,2.036
22,1.9697
23,1.9311
24,1.8628
25,1.8043
26,1.5478
27,1.4587
28,1.3732
29,1.2415
30,0.9222
31,1.1344
32,0.3362
33,0.0904
34,0.2
35,0.0039
36,0.0091
37,1.6387
38,0.0004
39,0.1989
40,0.7059
41,0.0027
42,0.4341
43,1.8765
44,2.1284
45,0.0317
46,0.4279
47,0.4216
48,0.1365
49,0.0112
50,0.0062
51,0.0065
52,0.017
53,0.1121
54,0.0289
55,0.0788
56,0.0012
57,0.0066
58,0.0011
59,0.0005
60,0.0002
61,0.0002
62,0.0002
63,0.0006
64,0.0003
65,0.0001
66,0.0001
67,0.0002
68,0.0001
69,0.0
70,0.0002
71,0.0002
72,0.0003
73,0.0002
74,0.0001
75,0.0001
76,0.0001
77,0.0001
78,0.0003
79,0.0001
80,0.0002
81,0.0001
82,0.0001
83,0.0001
84,0.0001
85,0.0001
86,0.0
87,0.0003
88,0.0001
89,0.0001
90,0.0001
91,0.0001
92,0.0001
93,0.0001
94,0.0
95,0.0002
96,0.0
97,0.0001
98,0.0002
99,0.0
100,0.0001
101,0.0001
102,0.0001
103,0.0001
104,0.0001
105,0.0001
106,0.0001
107,0.0002
108,0.0001
109,0.0001
110,0.0001
111,0.0001
112,0.0001
113,0.0001
114,0.0001
115,0.0
116,0.0
117,0.0001
118,0.0001
119,0.0002
120,0.0001
121,0.0001
122,0.0
123,0.0001
124,0.0
125,0.0001
126,0.0001
127,0.0001
128,0.0001
129,0.0
130,0.0001
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0001
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0001
145,0.0
146,0.0001
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0001
153,0.0001
154,0.0
155,0.0
156,0.0001
157,0.0001
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0001
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0001
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0001
198,0.0001
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0001
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0001
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
