Epoch,lung_loss,stomach_loss,liver_loss,pancreas_loss,spleen_loss,colon_loss
0,0.76825,0.7486,0.69845,0.6451,0.72675,0.7281
1,0.8495,0.38345,0.8251,0.28625,1.00705,0.33715
2,0.7214,0.6875,0.7483,0.5069,0.66605,0.7526
3,0.7062999999999999,0.3448,0.7662,0.2394,0.7321,0.3091
4,0.6914,0.6878,0.70675,0.5584,0.6567,0.6605
5,0.7020500000000001,0.34825,0.34835,0.24625,0.6781,0.34185
6,0.6943999999999999,0.3471,0.33985,0.1329,0.66015,0.28955
7,0.6954499999999999,0.30835,0.7057,0.06955,0.6395500000000001,0.2619
8,0.71065,0.5006,0.69695,0.0297,0.6309,0.2789
9,0.68205,0.0828,0.3582,0.00055,0.4833,0.01895
10,0.7182999999999999,0.02405,0.7054,0.0001,0.3489,0.0035
11,0.6211,0.0065,0.5554,0.0004,0.18309999999999998,0.0049
12,0.5858,0.54835,0.37765,0.00055,0.43305000000000005,0.01215
13,0.561,0.36055,0.6747000000000001,0.0,0.7299500000000001,0.0001
14,0.60155,0.0297,0.6011500000000001,5e-05,0.28555,0.0003
15,0.524,0.04795,0.2861,0.00825,0.47290000000000004,0.00855
16,0.5356000000000001,0.01195,0.27295,0.0041,0.5387500000000001,0.00075
17,0.4849,0.011,0.1435,0.0017,0.30779999999999996,0.001
18,0.375,0.00135,0.5025,5e-05,0.24960000000000002,5e-05
19,0.42805,0.00125,0.0222,5e-05,0.39555,0.00035
20,0.3238,0.0068,0.022,0.0,0.2096,0.0025
21,0.36819999999999997,0.0021,0.40225,0.0,0.1311,0.001
22,0.42414999999999997,0.0039,0.55105,0.0,0.0045,0.0008
23,0.3445,0.002,0.30745,0.0,0.2658,0.00035
24,0.8739,0.0007,0.6103,0.0,1.2853,0.0006
25,0.6710499999999999,0.00735,0.00175,0.0,0.86465,0.00055
26,0.85205,0.02365,0.33915,0.0001,0.01275,0.0057
27,0.58535,0.0477,0.0266,0.0013,0.43789999999999996,0.0133
28,0.48135,0.005,0.0129,0.0012,0.3014,0.0093
29,0.8224,0.0063,0.3524,0.00455,0.0012,0.0079
30,0.458,0.0406,0.31315,0.0085,0.0021,0.0192
31,0.37684999999999996,0.0105,0.0128,0.001,0.23485,0.0107
32,0.3878,0.0032,0.0045,0.0146,0.23235,0.00725
33,0.3897,0.00395,0.29965,0.00065,0.00595,0.0012
34,0.3815,0.00095,0.4097,0.00015,0.20725000000000002,0.0002
35,0.32234999999999997,0.0014,0.0043,0.0002,0.09725,0.0012
36,0.3732,0.0059,0.1495,0.0002,0.01,0.0008
37,0.37185,0.0001,0.47004999999999997,0.0001,0.10665,0.0008
38,0.31825,0.0007,0.0056,0.0001,0.06015,0.0002
39,0.36005,0.0001,0.40075,0.0001,0.0662,0.0002
40,0.35114999999999996,0.0004,0.0032,0.0001,0.016050000000000002,0.0001
41,0.35455,0.00135,0.12990000000000002,5e-05,0.09655,5e-05
42,0.3559,0.0001,0.1297,0.0,0.1273,0.0
43,0.3149,0.0,0.0004,0.0,0.8897,0.0001
44,0.4902,0.0,0.00065,0.0,0.79925,5e-05
45,0.3248,0.0,0.0004,0.0001,0.229,0.0004
46,0.50945,0.0001,0.6608499999999999,0.0002,0.0001,0.0042
47,0.6143,0.00015,0.5105000000000001,0.0005,0.4651,0.00725
48,0.4799,0.0017,0.0005,0.0024,0.18989999999999999,0.0081
49,0.38715,0.0085,0.26535,0.0569,0.022,0.0238
50,0.35159999999999997,0.0091,0.7040500000000001,0.0022,0.11195,0.0032
51,0.3629,0.00095,0.00045,0.0004,0.040850000000000004,0.0002
52,0.35575,0.0002,0.21564999999999998,0.0002,0.0112,0.0002
53,0.3528,0.0004,0.0023,0.0002,0.01725,0.0012
54,0.3548,0.0003,0.00065,0.0002,0.01835,5e-05
55,0.35109999999999997,0.0003,0.4819,0.0001,0.03125,0.0001
56,0.36224999999999996,0.0003,0.281,5e-05,0.01445,5e-05
57,0.35865,0.0007,0.0008,0.0001,0.0006000000000000001,0.0001
58,0.3725,0.0003,0.26045,0.0001,0.0768,0.0002
59,2.1176,0.0006,0.0011,0.0,0.0008,0.0001
60,1.8373,0.2852,1.8332,0.3217,0.9761,0.7911
61,1.5553,0.06505,0.1012,5e-05,0.18525,0.02145
62,0.6493500000000001,0.1006,0.34204999999999997,0.0003,0.074,0.0153
