organ,detected,boundary,detection_rate,gt_present,gt_abnormal,lost_abnormal
face,4124,2238,64.82238289845961,151,141,16
brain,293,12,96.06557377049181,101,91,0
esophagus,17606,6275,73.72388090950965,19603,19596,5190
trachea,16980,6900,71.10552763819095,20641,20641,5913
lung,20632,3250,86.3914245038104,23831,23831,3203
heart,23787,81,99.6606334841629,20847,20847,68
kidney,10639,12870,45.25500872006466,4034,4030,2455
stomach,18123,5722,76.00335500104843,929,923,196
liver,11309,12552,47.39533129374293,12506,12503,6646
gallbladder,15858,4765,76.89472918586044,2488,2482,376
pancreas,13490,10175,57.00401436720896,942,936,427
spleen,18502,5306,77.71337365591398,2340,2334,591
colon,9609,13394,41.772812241881496,376,370,202
aorta,11208,12665,46.94843547103422,10539,10535,5228
rib,10539,13344,44.12762215802035,917,910,525
humerus,7846,15440,33.69406510349566,260,253,171
scapula,9758,14125,40.85751371268266,245,238,156
clavicula,11875,11947,49.848879187305855,211,204,103
femur,91,44,67.4074074074074,175,168,0
hip,158,118,57.2463768115942,173,166,0
sacrum,183,53,77.54237288135593,172,165,0
gluteus,27,26,50.943396226415096,175,168,0
iliopsoas,9154,12833,41.63369263655797,174,167,90
autochthon,9205,14693,38.517867603983596,383,376,230
