organ,mentioned_in_report,lost_by_threshold,percent_lost
face,151,121,80.13245033112582
brain,101,97,96.03960396039604
esophagus,19603,357,1.8211498240065298
trachea,20641,1829,8.86100479627925
lung,23831,295,1.2378834291469096
heart,20847,227,1.0888856909867126
kidney,4034,1621,40.18344075359445
stomach,929,35,3.767491926803014
liver,12506,443,3.54229969614585
gallbladder,2488,792,31.832797427652732
pancreas,942,143,15.180467091295116
spleen,2340,129,5.512820512820513
colon,376,148,39.361702127659576
aorta,10539,188,1.7838504601954643
rib,917,48,5.2344601962922575
humerus,260,138,53.07692307692308
scapula,245,54,22.040816326530614
clavicula,211,83,39.33649289099526
femur,175,174,99.42857142857143
hip,173,172,99.42196531791907
sacrum,172,172,100.0
gluteus,175,175,100.0
iliopsoas,174,99,56.896551724137936
autochthon,383,118,30.809399477806785
