,mean,median,std,min,max,percentile_10,percentile_25,percentile_75,percentile_90
face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
esophagus,98.06608073990635,100.0,10.360234582869673,0.0,100.0,96.32200947825098,99.94821865087587,100.0,100.0
trachea,96.72091466506836,100.0,11.314155302392221,0.0,100.0,90.3097546485831,98.53389860188814,100.0,100.0
lung,98.87364727891296,100.0,10.104369666978352,0.0,100.0,99.97201874587243,100.0,100.0,100.0
heart,98.91701792352336,100.0,10.308179267411449,0.0,100.0,100.0,100.0,100.0,100.0
kidney,88.83040997236908,100.0,20.474904611692324,0.0,100.0,66.06167103252413,84.26109655431375,100.0,100.0
stomach,97.87451221895063,100.0,11.545115406367257,0.0,100.0,97.62047829280574,100.0,100.0,100.0
liver,97.61852717959084,100.0,11.02660353362053,0.0,100.0,95.5866289037596,98.6992709108797,100.0,100.0
gallbladder,81.68464540880181,100.0,36.20865448230658,0.0,100.0,0.0,95.41569273131714,100.0,100.0
pancreas,95.73869294243471,100.0,14.976230509707046,0.0,100.0,90.47804593539685,98.47368964679534,100.0,100.0
spleen,97.86461345639934,100.0,12.0705469412248,0.0,100.0,98.07074974741539,100.0,100.0,100.0
colon,87.00953648684222,100.0,24.196114606194385,0.0,100.0,61.80161469830023,84.4735166127849,100.0,100.0
aorta,98.29869128133363,100.0,10.307524000847504,0.0,100.0,97.81566587980609,99.00725754738633,100.0,100.0
rib,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
humerus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scapula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clavicula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
femur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sacrum,0.9253336566053556,0.0,9.445026369752311,0.0,100.0,0.0,0.0,0.0,0.0
gluteus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iliopsoas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
autochthon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
