,mean,median,std,min,max,percentile_10,percentile_25,percentile_75,percentile_90
face,21.610706006732716,0.0,39.51654899629876,0.0,100.0,0.0,0.0,10.299937074604118,100.0
brain,1.2414923341446817,0.0,11.044750824513976,0.0,100.0,0.0,0.0,0.0,0.0
esophagus,98.15451930333636,100.0,10.355336352237513,0.0,100.0,96.67876714650288,100.0,100.0,100.0
trachea,96.9302854816369,100.0,11.243537114371604,0.0,100.0,91.0480229021535,99.9402353154529,100.0,100.0
lung,98.88298512227742,100.0,10.138882416185323,0.0,100.0,99.99468168331636,100.0,100.0,100.0
heart,98.90697220174188,100.0,10.339462807802933,0.0,100.0,100.0,100.0,100.0,100.0
kidney,86.79988505465539,100.0,21.85949903057777,0.0,100.0,60.6937775855912,80.0328857438844,100.0,100.0
stomach,97.5725626627428,100.0,11.803341847287543,0.0,100.0,96.18020040237103,100.0,100.0,100.0
liver,97.27010482832688,100.0,11.19601202562066,0.0,100.0,94.5267945453535,98.09692974925852,100.0,100.0
gallbladder,80.13639538116068,100.0,37.04855096681104,0.0,100.0,0.0,86.46467650198508,100.0,100.0
pancreas,94.8231559603752,100.0,15.81507982357071,0.0,100.0,87.50670249806926,97.03248282996995,100.0,100.0
spleen,97.59625548652086,100.0,12.299651893512541,0.0,100.0,96.84715776713034,100.0,100.0,100.0
colon,85.06560741540754,98.30110228164456,25.075890586776374,0.0,100.0,56.198398367842934,80.29297600196617,100.0,100.0
aorta,98.16753130726816,100.0,10.333530781507081,0.0,100.0,97.53679474523936,98.72564376845966,100.0,100.0
rib,98.0914794824321,100.0,10.351632548489835,0.0,100.0,97.5824517316121,99.19433279270083,100.0,100.0
humerus,74.05703540835125,89.75793820765486,31.896644098538353,0.0,100.0,19.293526150693953,53.692428203253925,100.0,100.0
scapula,94.57084648584414,99.32923064654139,12.382415007365028,0.0,100.0,85.0740430782507,93.73495378741129,100.0,100.0
clavicula,84.98209799829469,100.0,23.088181654041737,0.0,100.0,49.94847139003213,75.09235964147742,100.0,100.0
femur,0.5425220159911923,0.0,7.309663202196298,0.0,100.0,0.0,0.0,0.0,0.0
hip,1.0742311265081907,0.0,10.213276508686446,0.0,100.0,0.0,0.0,0.0,0.0
sacrum,0.8627366006403683,0.0,9.082324902551065,0.0,100.0,0.0,0.0,0.0,0.0
gluteus,0.16496613231891166,0.0,3.8679611968677796,0.0,100.0,0.0,0.0,0.0,0.0
iliopsoas,69.99623442808996,84.88883127155862,34.642920836920005,0.0,100.0,9.979726558053002,44.278619958318785,100.0,100.0
autochthon,92.0715546371945,97.69206842587056,14.289077626342431,0.0,100.0,80.87244228157574,88.12870232660053,100.0,100.0
