organ,retained_scans,eliminated_scans,total_scans,retained_pct,eliminated_pct
face,4792,19336,24128,19.860742705570292,80.13925729442971
brain,297,23831,24128,1.2309350132625996,98.7690649867374
esophagus,23850,278,24128,98.84781167108754,1.1521883289124668
trachea,23799,329,24128,98.63643899204244,1.3635610079575597
lung,23870,258,24128,98.93070291777188,1.0692970822281167
heart,23866,262,24128,98.91412466843501,1.0858753315649867
kidney,20277,3851,24128,84.03929045092838,15.960709549071616
stomach,23757,371,24128,98.4623673740053,1.537632625994695
liver,23797,331,24128,98.628149867374,1.3718501326259946
gallbladder,18872,5256,24128,78.21618037135278,21.783819628647212
pancreas,23221,907,24128,96.24088196286472,3.7591180371352784
spleen,23728,400,24128,98.342175066313,1.6578249336870028
colon,20145,3983,24128,83.49220822281167,16.50779177718833
aorta,23852,276,24128,98.85610079575596,1.143899204244032
rib,23829,299,24128,98.76077586206897,1.2392241379310345
humerus,15736,8392,24128,65.21883289124668,34.781167108753316
scapula,23524,604,24128,97.49668435013263,2.503315649867374
clavicula,18938,5190,24128,78.48972148541115,21.510278514588858
femur,129,23999,24128,0.5346485411140584,99.46535145888595
hip,252,23876,24128,1.0444297082228116,98.95557029177718
sacrum,200,23928,24128,0.8289124668435014,99.1710875331565
gluteus,35,24093,24128,0.14505968169761274,99.85494031830238
iliopsoas,13859,10269,24128,57.439489389920425,42.560510610079575
autochthon,23110,1018,24128,95.78083554376657,4.219164456233422
