Label,Precision,Recall,F1,Support
Medical material,0.06666666666666667,0.06962025316455696,0.06811145510835913,158
Arterial wall calcification,0.3673469387755102,0.08275862068965517,0.1350844277673546,435
Cardiomegaly,0.0,0.0,0.0,164
Pericardial effusion,0.05056179775280899,0.16363636363636364,0.07725321888412016,110
Coronary artery wall calcification,0.2804532577903683,0.2551546391752577,0.26720647773279355,388
Hiatal hernia,0.3333333333333333,0.009174311926605505,0.01785714285714286,218
Lymphadenopathy,0.2425531914893617,0.14321608040201006,0.18009478672985782,398
Emphysema,0.22916666666666666,0.036065573770491806,0.06232294617563739,305
Atelectasis,0.1794871794871795,0.038461538461538464,0.06334841628959277,364
Lung nodule,0.42292490118577075,0.3039772727272727,0.3537190082644628,704
Lung opacity,0.3076923076923077,0.019801980198019802,0.037209302325581395,606
Pulmonary fibrotic sequela,0.35714285714285715,0.0585480093676815,0.1006036217303823,427
Pleural effusion,0.08189655172413793,0.10052910052910052,0.09026128266033254,189
Mosaic attenuation pattern,0.0,0.0,0.0,126
Peribronchial thickening,0.16129032258064516,0.02857142857142857,0.04854368932038835,175
Consolidation,0.2,0.003355704697986577,0.006600660066006601,298
Bronchiectasis,0.25,0.005917159763313609,0.011560693641618498,169
Interlobular septal thickening,0.0,0.0,0.0,124
Weighted Average,0.25595256451027387,0.09798432250839866,0.12007003644702323,5358
