--- GLOBAL ---
BLEU-1: 0.17034064019454148
BLEU-2: 0.08357142182028192
BLEU-3: 0.04252688731475012
BLEU-4: 0.02500762877804514
ROUGE-L: 0.14186438918113708
METEOR: 0.26753188723859017
GREEN: 0.0
ACC: 0.0
CIDEr: 0.020724228913815878
BERTScore: 0.8275834918022156
RadGraph: 0.0
CheXbert: 0.0
RadCliQ: 0.0

--- LUNG ---
BLEU-1: 0.23243052208835344
BLEU-2: 0.08592903350745619
BLEU-3: 0.022543454742788592
BLEU-4: 0.0049670292509943
ROUGE-L: 0.13339464366436005
METEOR: 0.17543197204787372
GREEN: 0.00940303657694962
ACC: 0.008951406649616368
CIDEr: 0.028188666089660412
BERTScore: 0.8386984467506409
RadGraph: 0.0
CheXbert: 0.0
RadCliQ: 0.0

--- HEART ---
BLEU-1: 0.08555300481147204
BLEU-2: 0.055724405566148875
BLEU-3: 0.04166498180909274
BLEU-4: 0.03066012110124402
ROUGE-L: 0.14831377565860748
METEOR: 0.2618855666581242
GREEN: 0.19579222993545245
ACC: 0.13554987212276215
CIDEr: 0.04776353080596388
BERTScore: 0.748574435710907
RadGraph: 0.0
CheXbert: 0.0
RadCliQ: 0.0

--- AORTA ---
BLEU-1: 0.10083181640129957
BLEU-2: 0.04410289641619645
BLEU-3: 0.025640428226710057
BLEU-4: 0.013680100534230327
ROUGE-L: 0.05150647088885307
METEOR: 0.08421338535941345
GREEN: 0.03616946778711484
ACC: 0.5632992327365729
CIDEr: 0.05137186504734436
BERTScore: 0.37563255429267883
RadGraph: 0.0
CheXbert: 0.0
RadCliQ: 0.0

--- ESOPHAGUS ---
BLEU-1: 0.10431940290606888
BLEU-2: 0.04487672694761429
BLEU-3: 0.016355787636626696
BLEU-4: 0.004933749258958575
ROUGE-L: 0.11409015953540802
METEOR: 0.17181835322327385
GREEN: 0.06652280477408354
ACC: 0.17774936061381075
CIDEr: 0.06762842690065095
BERTScore: 0.7105266451835632
RadGraph: 0.0
CheXbert: 0.0
RadCliQ: 0.0

--- TRACHEA ---
BLEU-1: 0.06833043012193488
BLEU-2: 0.029462144713616675
BLEU-3: 0.014490944859577906
BLEU-4: 0.007322069379352748
ROUGE-L: 0.05570164695382118
METEOR: 0.1574571491672864
GREEN: 0.09858269394714407
ACC: 0.14002557544757033
CIDEr: 0.011067917398526528
BERTScore: 0.7319960594177246
RadGraph: 0.0
CheXbert: 0.0
RadCliQ: 0.0

--- RIB ---
BLEU-1: 0.06118472330475448
BLEU-2: 0.02939020804635956
BLEU-3: 0.008072115315045402
BLEU-4: 3.1711769020838575e-79
ROUGE-L: 0.002498938702046871
METEOR: 0.0052249727589021135
GREEN: 0.00047953964194373403
ACC: 0.969309462915601
CIDEr: 0.0360635719586789
BERTScore: 0.02541780285537243
RadGraph: 0.0
CheXbert: 0.0
RadCliQ: 0.0

--- LIVER ---
BLEU-1: 0.08211197715785716
BLEU-2: 0.05716050019307994
BLEU-3: 0.04766237626678605
BLEU-4: 0.03937069878320448
ROUGE-L: 0.05644611269235611
METEOR: 0.12749866802694715
GREEN: 0.0006926683716965046
ACC: 0.44437340153452687
CIDEr: 0.16086243653632448
BERTScore: 0.4398811459541321
RadGraph: 0.0
CheXbert: 0.0
RadCliQ: 0.0

--- GALLBLADDER ---
BLEU-1: 0.0022883295194508014
BLEU-2: 0.0011612303026628738
BLEU-3: 0.0008776354519038241
BLEU-4: 0.0005812439188037751
ROUGE-L: 0.0006051796954125166
METEOR: 0.0005122774454625273
GREEN: 0.00319693094629156
ACC: 0.9021739130434783
CIDEr: 0.00046904773217466345
BERTScore: 0.08345172554254532
RadGraph: 0.0
CheXbert: 0.0
RadCliQ: 0.0

--- STOMACH ---
BLEU-1: 0.006552525893045865
BLEU-2: 0.0017745634095056805
BLEU-3: 4.5606218867252975e-104
BLEU-4: 6.283736669176056e-156
ROUGE-L: 0.001336403307504952
METEOR: 0.0022055102191571776
GREEN: 0.00012787723785166242
ACC: 0.8740409207161125
CIDEr: 0.0073791691774310435
BERTScore: 0.030748333781957626
RadGraph: 0.0
CheXbert: 0.0
RadCliQ: 0.0

--- PANCREAS ---
BLEU-1: 0.02274846168189446
BLEU-2: 0.0074662924830807545
BLEU-3: 0.0023371072792288347
BLEU-4: 1.2399690387842684e-79
ROUGE-L: 0.0010580855887383223
METEOR: 0.002235866201774157
GREEN: 0.0009590792838874681
ACC: 0.9629156010230179
CIDEr: 0.002094719136915152
BERTScore: 0.029747243970632553
RadGraph: 0.0
CheXbert: 0.0
RadCliQ: 0.0

--- SPLEEN ---
BLEU-1: 0.048829045947503535
BLEU-2: 0.024930239707475873
BLEU-3: 0.012835545589375759
BLEU-4: 0.0053114304028969725
ROUGE-L: 0.005853491835296154
METEOR: 0.013721552034523932
GREEN: 0.002898550724637681
ACC: 0.9021739130434783
CIDEr: 0.014139429024856848
BERTScore: 0.08175143599510193
RadGraph: 0.0
CheXbert: 0.0
RadCliQ: 0.0

--- KIDNEY ---
BLEU-1: 0.05238547188592328
BLEU-2: 0.017596798437372527
BLEU-3: 0.004814374711705767
BLEU-4: 0.0012260703769685277
ROUGE-L: 0.012284480966627598
METEOR: 0.021128713626095967
GREEN: 0.00015984654731457802
ACC: 0.7461636828644501
CIDEr: 0.04207240460867401
BERTScore: 0.14538033306598663
RadGraph: 0.0
CheXbert: 0.0
RadCliQ: 0.0

