Organ,N,ACC,GREEN,BLEU-1,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ
GLOBAL,1564,0.000,0.000,0.170,0.025,0.268,0.142,0.021,0.828,0.000,0.000,0.000
LUNG,1564,0.009,0.009,0.232,0.005,0.175,0.133,0.028,0.839,0.000,0.000,0.000
HEART,1564,0.136,0.196,0.086,0.031,0.262,0.148,0.048,0.749,0.000,0.000,0.000
AORTA,1564,0.563,0.036,0.101,0.014,0.084,0.052,0.051,0.376,0.000,0.000,0.000
ESOPHAGUS,1564,0.178,0.067,0.104,0.005,0.172,0.114,0.068,0.711,0.000,0.000,0.000
TRACHEA,1564,0.140,0.099,0.068,0.007,0.157,0.056,0.011,0.732,0.000,0.000,0.000
RIB,1564,0.969,0.000,0.061,0.000,0.005,0.002,0.036,0.025,0.000,0.000,0.000
LIVER,1564,0.444,0.001,0.082,0.039,0.127,0.056,0.161,0.440,0.000,0.000,0.000
GALLBLADDER,1564,0.902,0.003,0.002,0.001,0.001,0.001,0.000,0.083,0.000,0.000,0.000
STOMACH,1564,0.874,0.000,0.007,0.000,0.002,0.001,0.007,0.031,0.000,0.000,0.000
PANCREAS,1564,0.963,0.001,0.023,0.000,0.002,0.001,0.002,0.030,0.000,0.000,0.000
SPLEEN,1564,0.902,0.003,0.049,0.005,0.014,0.006,0.014,0.082,0.000,0.000,0.000
KIDNEY,1564,0.746,0.000,0.052,0.001,0.021,0.012,0.042,0.145,0.000,0.000,0.000
