Organ,N,ACC,GREEN,BLEU-1,BLEU-4,METEOR,ROUGE-L,CIDEr
GLOBAL,1564,0.000,0.062,0.189,0.027,0.271,0.153,0.023
LUNG,1548,0.000,0.053,0.222,0.000,0.177,0.132,0.023
HEART,1352,0.000,0.033,0.077,0.024,0.245,0.162,0.045
AORTA,683,0.000,0.036,0.095,0.015,0.210,0.119,0.094
ESOPHAGUS,1286,0.000,0.043,0.096,0.024,0.250,0.130,0.053
TRACHEA,1345,0.000,0.048,0.143,0.013,0.273,0.147,0.035
RIB,48,0.000,0.020,0.069,0.000,0.164,0.069,0.094
LIVER,824,0.000,0.038,0.084,0.031,0.274,0.130,0.073
GALLBLADDER,153,0.000,0.002,0.012,0.000,0.006,0.001,0.006
STOMACH,58,0.000,0.007,0.025,0.000,0.069,0.042,0.031
PANCREAS,58,0.000,0.011,0.037,0.000,0.095,0.046,0.039
SPLEEN,153,0.000,0.026,0.077,0.007,0.171,0.102,0.087
KIDNEY,287,0.000,0.005,0.055,0.000,0.025,0.010,0.009
