Organ,N,ACC,GREEN,BLEU-1,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ
GLOBAL,1564,0.000,0.000,0.196,0.035,0.304,0.178,0.023,0.831,0.000,0.000,0.000
LUNG,1548,0.000,0.016,0.256,0.009,0.204,0.165,0.027,0.855,0.000,0.000,0.000
HEART,1352,0.000,0.179,0.090,0.032,0.298,0.154,0.062,0.877,0.000,0.000,0.000
AORTA,683,0.000,0.130,0.129,0.011,0.212,0.116,0.063,0.862,0.000,0.000,0.000
ESOPHAGUS,1286,0.000,0.254,0.101,0.015,0.289,0.162,0.075,0.871,0.000,0.000,0.000
TRACHEA,1345,0.000,0.341,0.120,0.025,0.347,0.185,0.042,0.878,0.000,0.000,0.000
RIB,48,0.000,0.000,0.074,0.004,0.170,0.073,0.103,0.824,0.000,0.000,0.000
LIVER,824,0.000,0.002,0.089,0.048,0.304,0.142,0.103,0.865,0.000,0.000,0.000
GALLBLADDER,153,0.000,0.000,0.016,0.000,0.017,0.003,0.016,0.827,0.000,0.000,0.000
STOMACH,58,0.000,0.000,0.021,0.000,0.058,0.021,0.158,0.821,0.000,0.000,0.000
PANCREAS,58,0.000,0.004,0.042,0.000,0.034,0.015,0.029,0.801,0.000,0.000,0.000
SPLEEN,153,0.000,0.035,0.060,0.005,0.159,0.064,0.041,0.847,0.000,0.000,0.000
KIDNEY,287,0.000,0.001,0.052,0.000,0.027,0.012,0.011,0.799,0.000,0.000,0.000
