organ,avg_retention_pct,median_retention_pct,samples_with_organ
heart,99.41077930471289,100.0,99
lung,84.99989872168229,85.70200808363059,99
aorta,78.82962560228546,81.73788773310842,99
esophagus,71.24307088437499,71.65575304022451,99
rib,67.94037747035682,67.70682559954591,99
trachea,45.26934743522214,44.74025974025974,99
liver,38.838989817406386,37.61430189911093,99
stomach,32.95176332898093,26.25651315576556,99
spleen,28.271260800432263,19.878562947479185,99
gallbladder,4.498725223980009,0.0,82
pancreas,3.764057324885651,0.0,96
kidney,0.8060061855380499,0.0,98
