split,organ,num_scans,num_masks_processed,report_count,report_pct,visible_count,visible_pct
training,lung,24112,24112,24094,99.92534837425349,23868,98.98805573988055
training,heart,24112,24112,22490,93.27305905773059,23855,98.93414067684141
training,esophagus,24112,24112,20742,86.02355673523557,23867,98.98390842733909
training,liver,24112,24112,12860,53.334439283344395,23847,98.90096217650962
training,gallbladder,24112,24112,2518,10.44293297942933,21290,88.29628400796284
training,stomach,24112,24112,379,1.5718314532183146,23837,98.8594890510949
training,pancreas,24112,24112,929,3.8528533510285334,23707,98.32033842070338
training,spleen,24112,24112,2297,9.526376907763769,23805,98.72677504976775
training,kidney,24112,24112,3956,16.406768414067685,23577,97.78118779031188
training,aorta,24112,24112,13253,54.96433311214333,23860,98.95487723954878
training,trachea,24112,24112,21826,90.51924353019244,23871,99.00049767750498
training,rib,24112,24112,1981,8.215826144658262,23868,98.98805573988055
validation,lung,1563,1563,1562,99.9360204734485,1552,99.29622520793346
validation,heart,1563,1563,1446,92.51439539347409,1551,99.23224568138195
validation,esophagus,1563,1563,1353,86.56429942418426,1553,99.36020473448497
validation,liver,1563,1563,850,54.38259756877799,1550,99.16826615483045
validation,gallbladder,1563,1563,153,9.78886756238004,1366,87.39603326935381
validation,stomach,1563,1563,20,1.2795905310300704,1548,99.04030710172745
validation,pancreas,1563,1563,57,3.6468330134357005,1540,98.52847088931541
validation,spleen,1563,1563,146,9.341010876519514,1546,98.91234804862444
validation,kidney,1563,1563,280,17.914267434420985,1531,97.95265515035189
validation,aorta,1563,1563,867,55.47024952015355,1551,99.23224568138195
validation,trachea,1563,1563,1411,90.27511196417146,1552,99.29622520793346
validation,rib,1563,1563,117,7.485604606525912,1554,99.42418426103647
