Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1564,0.3119047885192386,0.0962521185168197,0.3213144148829655,0.3083079917718825,0.04193009261017066,0.548855979881628,0.23342692228627074,0.23534702002597857,1.004427134610946,0.37093929670593334
LUNG,1548,0.10508259505352528,0.02492976882215743,0.18238479693085177,0.17649943905410725,0.06151737149151009,0.3868985342424969,0.06605905639639077,0.26073012341567353,0.7081905611531591,0.324245442546446
HEART,1352,0.5179610453648915,0.1869542348831731,0.4091824258971365,0.45682392999926585,1.34377912021305,0.6000397453999379,0.4784077218422277,0.24669910799583752,2.1896156376676923,0.6612225114713404
AORTA,684,0.07353801169590644,0.011482301154238367,0.11232561754065275,0.08261983879925325,0.3621930759502668,0.1847145975246067,0.05217826328032183,0.500542466399027,0.685191895479593,0.38925368402037547
ESOPHAGUS,1286,0.5809357179885951,0.28745640677688605,0.4619872215271855,0.4780390134781338,1.4859624378985272,0.6211826365620686,0.3698693365327131,0.8418954443355691,-462.07467773253614,0.8807719120322103
TRACHEA,1346,0.6519068845963351,0.3018730139881659,0.5261530503890227,0.5030482216511998,1.5216624860566836,0.6398181912626235,0.49265941723741236,0.9657815487883307,-5.741520694234397,0.9828648276139047
RIB,50,0.06,8.95092102878698e-13,0.056962658275204595,0.0558818024081182,0.0513058035749909,0.035896352976560596,0.0,0.3660606060606061,0.5077598108479501,0.5720962566844919
LIVER,824,0.1758697411003236,0.0971138292074685,0.24201596105577922,0.2372781088144041,1.5371842790799524,0.33183134672711195,0.17786530823545388,0.705900815427156,1.1198095632360874,0.9535486992572738
GALLBLADDER,154,0.01948051948051948,3.11861466522105e-12,0.059067562977762625,0.01255974412895521,0.008267046317115426,0.11116654919339465,0.0,0.5775320094997369,0.6327074565246684,0.9814801953839387
STOMACH,59,0.0,2.3011823154624603e-11,0.04242832706961374,0.013041431261770244,0.031075238105875744,0.024192376220125263,0.0,0.2623916042569965,0.5398334719779533,0.09820614960035408
PANCREAS,59,0.06779661016949153,5.220089231786622e-12,0.07912653758780898,0.039538743675064734,0.013702416199546371,0.10189132240869231,0.0,0.8347200821777093,0.643698822578253,0.9333688909960097
SPLEEN,153,0.05228758169934641,3.5897743159737317e-12,0.06922313822542382,0.03226395000990804,0.01994503467960181,0.11737432973641976,0.0,0.5588145960085982,0.6612026703743489,0.9779210138687263
KIDNEY,287,0.020905923344947737,8.859962848200718e-14,0.04417328548013971,0.019219159956080686,0.010368284016858777,0.1005611605033642,0.0,0.25251348662701467,0.5921158690429049,0.8995609545078113
