Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1564,0.2062975574084909,0.012155064657488996,0.19252712298333213,0.2119154759572296,0.004694091341303911,0.46555944408297234,0.14358045485542423,0.07468240721638507,0.6994857861040571,0.2833959416304577
LUNG,1548,0.032969064025265574,0.00024295832327466448,0.06329745307482976,0.07170174549260894,0.05597528389983366,0.14522173530987684,0.02048187482227213,0.13682574308022427,0.516939817344368,0.2751307479309976
HEART,1352,0.23126232741617353,0.06736780300571794,0.22510522419387602,0.2198634011269832,0.6272977499102506,0.37108741797639067,0.23156062976574165,0.32702177917883396,0.9145315379070053,0.5766729789852137
AORTA,684,0.07093079922027291,0.007820810039094546,0.10278438794302361,0.07228181912180527,0.31939281648355383,0.1666665085923602,0.042174026810249725,0.5113986745608604,0.6681826782099661,0.3956465494274289
ESOPHAGUS,1286,0.275660964230171,0.12081052454615568,0.337613162138261,0.33420474059841,0.9801217117453883,0.4072269051108353,0.18042377262599568,0.8602231584531698,1.19525142613148,0.8803891095245848
TRACHEA,1346,0.3406760772659733,0.114108474566508,0.2999091739711661,0.2984987611891933,0.8942506081955726,0.4206826657189657,0.27100950392729956,0.973542455031215,2.041289214164463,0.9828648276139047
RIB,50,0.06,8.95092102878698e-13,0.056962658275204595,0.0558818024081182,0.0513058035749909,0.035896387994289396,0.0,0.3660606060606061,0.5077598315177276,0.5720962566844919
LIVER,824,0.04004854368932039,0.00929421290743365,0.11514733138875236,0.10197295706195833,0.30022805853750884,0.20335119731217913,0.03248574510710433,0.7107184440303366,0.749150225277292,0.9535486992572738
GALLBLADDER,154,0.01948051948051948,3.11861466522105e-12,0.059067562977762625,0.01255974412895521,0.008267046317115426,0.11116651145668772,0.0,0.5775320094997369,0.6327073325611865,0.9814801953839387
STOMACH,59,0.0,2.3011823154624603e-11,0.04242832706961374,0.013041431261770244,0.031075238105875744,0.02419229609481359,0.0,0.2623916042569965,0.5398333869769508,0.09820614960035408
PANCREAS,59,0.06779661016949153,5.220089231786622e-12,0.07912653758780898,0.039538743675064734,0.013702416199546371,0.10189142545401039,0.0,0.8347200821777093,0.6436987671612349,0.9333688909960097
SPLEEN,153,0.05228758169934641,3.5897743159737317e-12,0.06922313822542382,0.03226395000990804,0.01994503467960181,0.11737439576901641,0.0,0.5588145960085982,0.6612025897921481,0.9779210138687263
KIDNEY,287,0.020905923344947737,8.859962848200718e-14,0.04417328548013971,0.019219159956080686,0.010368284016858777,0.10056112413310839,0.0,0.25251348662701467,0.592115788984303,0.8995609545078113
