Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1564,0.3027251236969907,0.06204928105612449,0.27862575006183105,0.28583866582660566,0.02430285241182926,0.5344982246303802,0.2121056804659051,0.20469535690066024,0.9421015559233502,0.35504487314680633
LUNG,1548,0.11391196013289037,0.019613077675806327,0.1655115379850374,0.17311148848549543,0.140911778186994,0.356005466608114,0.07556818559914355,0.23955524684652968,0.6921383221338022,0.3225329683669846
HEART,1352,0.42066896778435237,0.1446394724646651,0.34991372103750323,0.3924718897130259,1.1639880499230866,0.5286799298941031,0.42311056113148365,0.2938318495312276,1.5244014561040908,0.6223517947117737
AORTA,684,0.08369883040935673,0.009462534097017106,0.11557621071573256,0.08894531167001808,0.38975012431863315,0.20018562552524588,0.05297509600564386,0.5140447813063166,0.7015941842561031,0.4208277316633281
ESOPHAGUS,1286,0.4671461897356143,0.23657866583400228,0.42688472897096297,0.4357031694543759,1.7876728647674727,0.5434072309667549,0.29176584005214684,0.8469965474598318,2.5902267011748488,0.8807719120322103
TRACHEA,1346,0.5254457652303121,0.1947796586772437,0.433894931116369,0.4457805570313106,1.6199517345099346,0.5694490564879124,0.43411578370061005,0.9740629095084349,40.8119316270588,0.9828648276139047
RIB,50,0.06,8.95092102878698e-13,0.056962658275204595,0.0558818024081182,0.0513058035749909,0.035896352976560596,0.0,0.3660606060606061,0.5077598108479501,0.5720962566844919
LIVER,824,0.05825242718446602,0.017418326274112966,0.1333489915884425,0.12070347031733653,0.4653522923746343,0.22056229571694308,0.052545618129570155,0.7107184440303366,0.7869305417959221,0.9535486992572738
GALLBLADDER,154,0.01948051948051948,1.002139279825612e-12,0.059661049737138164,0.01330387373672118,0.004574376449085201,0.11641422572073998,0.0021645021645021645,0.5775320094997369,0.6338644938735617,0.9814801953839387
STOMACH,59,0.11864406779661017,1.951261047054547e-07,0.14743984978723634,0.14758541834813024,0.5121872068717113,0.1555343373852261,0.09152542372881356,0.26648441771459813,0.6583135746519835,0.32144519419797035
PANCREAS,59,0.0847457627118644,1.382214163457027e-12,0.09717790553085527,0.05479298096320032,0.03700160663647483,0.11442372556460106,0.019774011299435026,0.8347200821777093,0.6470021508098422,0.9333688909960097
SPLEEN,153,0.05228758169934641,3.5897743159737317e-12,0.06937801850296929,0.0327667152185556,0.01994506399831514,0.11911996200778126,0.0,0.5588145960085982,0.6607858203457081,0.9779210138687263
KIDNEY,287,0.020905923344947737,7.939563129366858e-13,0.04560966623745916,0.019734233429796792,0.009843237811427962,0.10149420870513451,0.0007742934572202866,0.2490291660695234,0.5923589823316213,0.8995609545078113
