Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1564,0.28278994556168474,0.04707974575909591,0.2601639059427166,0.2728696286953141,0.02153078389405485,0.5268050932213474,0.20001161825874125,0.15614321916394858,0.8918440223697108,0.3181652904796108
LUNG,1548,0.10172290923259913,0.0118593551318465,0.1448478871459639,0.1615947317849325,0.11853054587612466,0.33264702982064676,0.06742830509272842,0.18877545013957892,0.6611828211728767,0.29422266242374145
HEART,1352,0.394378698224852,0.1254818208056788,0.33064382695366373,0.3659840137495868,1.0208001463821514,0.5121492034584813,0.3924991753368588,0.2631403649932459,1.5431335111777356,0.6075700657458937
AORTA,684,0.0476120857699805,0.004368006814377588,0.08978225026695998,0.05492472601677697,0.328270863526245,0.14264772819322452,0.04019418284769162,0.4927101616789309,0.6421043811345509,0.33355048718758873
ESOPHAGUS,1286,0.40189217210990164,0.19335580053806803,0.39532460116476487,0.4009474574039716,1.3889883914258112,0.5000856063599535,0.2551587406540605,0.8443135551752995,1.7823657284131436,0.8807719120322103
TRACHEA,1346,0.5323551263001486,0.2075184079819888,0.4362218840529328,0.4453958272032506,1.575289657526941,0.5655267910829802,0.427952747875613,0.9751367561749577,-4.553951212267586,0.9828648276139047
RIB,50,0.06,7.398116150891355e-13,0.054118584264230274,0.05292440892440892,0.05080903215374964,0.014750863313674928,0.0,0.3660606060606061,0.49823324722476087,0.5720962566844919
LIVER,824,0.023058252427184466,0.003480556490244901,0.09900630619008217,0.08584154282806897,0.12976101920034952,0.18837638618876634,0.015365847070944157,0.7107184440303366,0.7206430354570112,0.9535486992572738
GALLBLADDER,154,0.025974025974025976,2.292079376453123e-07,0.06564418538106104,0.02171577568758417,0.016079144542969832,0.13088474354960702,0.0021645021645021645,0.5775320094997369,0.639979175425511,0.9814801953839387
STOMACH,59,0.11864406779661017,2.4242431294077297e-07,0.13561034665537186,0.136151466236212,0.41303578200850816,0.14727147226616488,0.06779661016949153,0.2485875706214689,0.6507205733997591,0.3667349599552989
PANCREAS,59,0.11864406779661017,8.15559561585094e-09,0.10795704459468912,0.06995582576213685,0.07574365408042226,0.12549561312643148,0.05367231638418079,0.8347200821777093,0.6778110486867016,0.9333688909960097
SPLEEN,153,0.05228758169934641,3.5897743159737317e-12,0.06922313822542382,0.03226395000990804,0.01994503467960181,0.11737439576901641,0.0,0.5588145960085982,0.6612025897921481,0.9779210138687263
KIDNEY,287,0.020905923344947737,8.859962848200718e-14,0.04417328548013971,0.019219159956080686,0.010368284016858777,0.10056112413310839,0.0,0.25251348662701467,0.592115788984303,0.8995609545078113
