Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1564,0.2891972300220382,0.04886907799503077,0.26177403555781636,0.2739172198509297,0.0235348352757705,0.5267408949030025,0.19965400993673033,0.15248535646634442,0.8886112155617397,0.319194923119739
LUNG,1548,0.10013073704934168,0.012997370829540429,0.14670801203166484,0.1590949311305056,0.09807775308004293,0.3269665543885194,0.06449750739964928,0.19885430484979147,0.6593457623275579,0.3005292176910873
HEART,1352,0.4084566074950689,0.12810543278208894,0.33272974370438035,0.3708527209718329,1.0368390532803762,0.5169363594972171,0.3958457257049836,0.2692676780905959,1.6039048844976331,0.6194167726295735
AORTA,684,0.032383040935672514,0.0023055812653295167,0.07465536319902923,0.03885603337029726,0.25505561298312346,0.12383262495025557,0.03036983322071041,0.4918774783183124,0.6211037623255586,0.3054961453647761
ESOPHAGUS,1286,0.392625712804562,0.19533234792134477,0.392658526217831,0.39587673932307493,1.4671753640510197,0.49402726484494486,0.2439623621008649,0.8416204983025909,1.6981623036134195,0.8807719120322103
TRACHEA,1346,0.546830113917781,0.21240468045073693,0.4431578475878183,0.45256800596601,1.5243503846592223,0.5756437502148247,0.42585338745202395,0.9736864492508452,-4.621229487364752,0.9828648276139047
RIB,50,0.04,1.7067853367034224e-09,0.06563756590312952,0.06623345075976655,0.143035001432637,0.01939675733447075,0.0,0.3660606060606061,0.49667822403869577,0.5720962566844919
LIVER,824,0.050970873786407765,0.010944749055920322,0.12511391546153766,0.11219836300346375,0.4093165186025662,0.2123293413699252,0.043509207890275854,0.7107184440303366,0.7670639501447817,0.9535486992572738
GALLBLADDER,154,0.016774891774891772,7.15759222754968e-09,0.06586591168787603,0.02343220500141608,0.03415005058405751,0.12354515357451006,0.009199134199134198,0.5775320094997369,0.6404181296505318,0.9814801953839387
STOMACH,59,0.19491525423728814,3.095904088106359e-07,0.20386273200665167,0.21099921735514957,0.7606661837914505,0.2277701633461451,0.14802259887005648,0.2713946612251697,0.8077652795669886,0.4428791547435615
PANCREAS,59,0.11864406779661017,0.00017090470009086325,0.10594182084014148,0.07743852839779525,0.277846750279882,0.13730254339969764,0.05367231638418079,0.8347200821777093,0.706010069500826,0.9333688909960097
SPLEEN,153,0.05228758169934641,3.5897743159737317e-12,0.06922313822542382,0.03226395000990804,0.01994503467960181,0.11737432973641976,0.0,0.5588145960085982,0.6612026703743489,0.9779210138687263
KIDNEY,287,0.020905923344947737,8.859962848200718e-14,0.04417328548013971,0.019219159956080686,0.010368284016858777,0.1005611605033642,0.0,0.25251348662701467,0.5921158690429049,0.8995609545078113
