Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1564,0.33589864242038153,0.08227765829384026,0.3235442342439288,0.33175536129452665,0.03395904886684658,0.5616655930533738,0.24976490672881735,0.1686683296616317,1.0568223219063004,0.32899924576317174
LUNG,1548,0.1188943467528739,0.018277743331792492,0.1655187994733401,0.18625023046158587,0.11302847057138342,0.38213372754188163,0.07566450242160613,0.20482138588946477,0.7121145408923538,0.30251254304150044
HEART,1352,0.5000616370808678,0.16017164837380696,0.38038813551872275,0.44453346197104054,1.1973304156302818,0.58951402980195,0.4649271839883496,0.2785279924252062,2.6335446865379155,0.621004303096155
AORTA,684,0.21369395711500974,0.008049980791655935,0.18897501492994553,0.2373385640130821,0.49195268122912605,0.43289321660995483,0.10695227199373071,0.49122624650181757,1.007168790183006,0.31118948280448266
ESOPHAGUS,1286,0.6397744945567653,0.30215803176880585,0.4546773947303537,0.4850238305877439,2.0405257668922427,0.7012594314422429,0.3821836840784042,0.8249069792883172,10.54268139936453,0.8807719120322103
TRACHEA,1346,0.7057578008915303,0.2739122977204629,0.5405233518630448,0.5656001760357107,2.0362902009957535,0.7136276154426019,0.5476511299352397,0.9755368018944685,-4.255891757905107,0.9828648276139047
RIB,50,0.0,7.348697564976758e-11,0.10987906911545026,0.1562460882759968,0.2330562030874511,0.12501071333885194,0.06026739926739927,0.3660606060606061,0.5428767389752395,0.5720962566844919
LIVER,824,0.2551779935275081,0.09574277287247737,0.27786193515197843,0.3345351703460266,1.3017248082363115,0.4403625839543574,0.3674895551244406,0.7107184440303366,1.5571247696829809,0.9535486992572738
GALLBLADDER,154,0.12175324675324675,2.370183690310102e-06,0.2013488257868169,0.23012825136921175,0.12054966353158608,0.40836620872670953,0.20207588093177736,0.5775320094997369,0.97709097999811,0.9814801953839387
STOMACH,59,0.11864406779661017,4.368207298391148e-06,0.1746974751559328,0.1863388162740107,0.5339188618893009,0.253594290401976,0.08559322033898303,0.22818401937046004,0.7212782039249409,0.3308900883556228
PANCREAS,59,0.4703389830508475,2.5063684116570986e-06,0.2690815901889737,0.2823547958206326,0.8438064234327233,0.3993519150604636,0.21394062622876184,0.8347200821777093,1.0023760412467115,0.9333688909960097
SPLEEN,153,0.18028322440087144,6.889834386863535e-07,0.1699761226431022,0.20209502345539598,0.08808265443340785,0.39472181481473584,0.16024578181440927,0.5588145960085982,0.8577636452646313,0.9779210138687263
KIDNEY,287,0.049070847851335656,2.9489071254705265e-08,0.11447095380765585,0.16537298431602543,0.01974707192770183,0.32220781420581435,0.1200480323826327,0.2504405606489102,0.7579829041027152,0.8995609545078113
