Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1564,0.3288587158791763,0.08088733929393337,0.3214645936801821,0.33615771119734655,0.037394278958761004,0.5682460507163611,0.24862986394544162,0.19926819504906657,1.0601806876059465,0.33147428384169497
LUNG,1548,0.1313910142398514,0.01867205406415999,0.17426951921504133,0.19667602783426602,0.11465846566636553,0.4091960044640287,0.08185534238366338,0.2104396663653808,0.737331391550419,0.3124139194539171
HEART,1352,0.5034516765285997,0.14813651008179204,0.3744409824358375,0.4298961944867891,0.943897677403512,0.5773018386942395,0.4249600006192773,0.27090140310219923,1.9288758693011847,0.6189915694730729
AORTA,684,0.2152046783625731,0.013518822186586994,0.2130808437935233,0.2616881865748738,0.84317116009297,0.45497743828951964,0.14132404569194676,0.4918774783183124,1.0651945437284185,0.3054961453647761
ESOPHAGUS,1286,0.6366640746500779,0.30311104439621445,0.45364639823264546,0.4948569291160147,2.203810746831284,0.6958005783346541,0.3880516854896457,0.8201320458659452,4.9391034284245325,0.8807719120322103
TRACHEA,1346,0.7041109460128775,0.2500494915762197,0.5244142362698105,0.5644850254756443,2.035534551320468,0.7129422520988941,0.5318054572140755,0.9750874462205918,-4.982598185113717,0.9828648276139047
RIB,50,0.04,0.012873489813693921,0.12781316596921444,0.17371309530186022,0.15195275232710403,0.2073719584941864,0.08076190476190476,0.3660606060606061,0.5772141659430177,0.5720962566844919
LIVER,824,0.27218851132686084,0.1066125949952016,0.2844408535914676,0.3441668617858759,1.4921411941575198,0.4452180911615057,0.3792972212510672,0.7107184440303366,1.7471534824612454,0.9535486992572738
GALLBLADDER,154,0.12067099567099566,0.0020577458895584644,0.20708744606182528,0.23264033768358144,0.13991780926284086,0.4241615282250689,0.22597737626184414,0.5775320094997369,0.99663312155603,0.9814801953839387
STOMACH,59,0.025423728813559324,2.608215784018747e-06,0.08419985260094792,0.06963462607857945,0.11124505677168217,0.1330163971347324,0.04831975933670849,0.2623916042569965,0.6087344907112612,0.09820614960035408
PANCREAS,59,0.4279661016949153,1.612379952135737e-06,0.21705901313164228,0.23551056943723084,0.22561893824832271,0.39334989654815805,0.16684069226442105,0.8347200821777093,0.9215036785064276,0.9333688909960097
SPLEEN,153,0.17374727668845316,1.0752650176619344e-06,0.1673187190324402,0.20052505280999786,0.07709922932484967,0.408387906021542,0.19281658791462714,0.5622038988884978,0.9355422731535322,0.9779210138687263
KIDNEY,287,0.041811846689895474,1.82795546396618e-11,0.10581449842036622,0.15248851722105586,0.022005385899845166,0.3057663937063583,0.12106461450594505,0.25251348662701467,0.7553355714964053,0.8995609545078113
