Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1564,0.3038528074653393,0.06257909284783328,0.2759312202528762,0.2831637350615484,0.031542988430796254,0.533134166084592,0.2061739905363267,0.23739863096343952,0.9369749901877269,0.36772463846800396
LUNG,1548,0.12197824964297832,0.021192446098257194,0.16688728448934045,0.17479788419453385,0.14114219103475775,0.35257362949755766,0.07386995243154468,0.2699874797209305,0.6955404017229725,0.32917175216734484
HEART,1352,0.38745069033530566,0.1220069783993643,0.3163432399756603,0.3473015648620889,1.0609637713011082,0.4918203678356825,0.3744263625234141,0.34360149374845295,1.5496585031037233,0.6392651219062995
AORTA,684,0.06711918685602897,0.008583736159172774,0.09828198078389472,0.0670812152827128,0.20330643184124994,0.1710526507936026,0.031533943501697304,0.5230729841507544,0.6720591021150616,0.4182532854442918
ESOPHAGUS,1286,0.4245075168481078,0.22905247921404964,0.4186497697321735,0.423707604550575,1.704884079733774,0.5215267626160226,0.27732038073594445,0.8468914903792377,2.3390445835560443,0.8807719120322103
TRACHEA,1346,0.5407875185735513,0.20752686140914017,0.4394231839548257,0.4529996201184226,1.5696890310811307,0.572616596012909,0.4398862648097856,0.9762692387578548,-4.90185324285323,0.9828648276139047
RIB,50,0.06,8.429780763999436e-13,0.05533911530095072,0.0558818024081182,0.051298746910495456,0.024058960378170013,0.0,0.3660606060606061,0.5006865963785164,0.5720962566844919
LIVER,824,0.0572411003236246,0.016354903532671272,0.12920607566376124,0.11592402041027347,0.45924466237709044,0.21620118806084382,0.04892632987293181,0.711351246008154,0.7809504977182536,0.9535486992572738
GALLBLADDER,154,0.01948051948051948,2.3313952453117357e-07,0.07292232106167494,0.03195339560574757,0.02980942367249159,0.14201679574204729,0.0168090681248576,0.58457581315371,0.6552828036857786,0.9814801953839387
STOMACH,59,0.1016949152542373,0.04091236437264422,0.12676812145542035,0.12178504170029594,0.29260532053768795,0.13969775377693822,0.060169491525423724,0.2725423728813559,0.6536453459158801,0.34206866579747935
PANCREAS,59,0.16807909604519777,0.00024744029620820735,0.14698574672624456,0.12575550314195752,0.24336286770679552,0.19025439099740174,0.08789346246973365,0.8347200821777093,0.7496290821955454,0.9333688909960097
SPLEEN,153,0.05119825708061002,1.5526823576501162e-12,0.06860781446709954,0.035223166385017095,0.022014667556643663,0.12754822186395234,0.007096171802054156,0.5510682876086949,0.6619425272833552,0.9779210138687263
KIDNEY,287,0.026422764227642274,4.5349419790662825e-05,0.04684784772362157,0.0232787474421227,0.010763236060344733,0.10786527917048656,0.003886550924878451,0.2464082222954091,0.5961875638640507,0.8995609545078113
