Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1563,0.1941653675818743,0.03214716988058172,0.2503477625727363,0.2498224639776801,0.0182062438223595,0.5072261576307788,0.13331162937567037,0.2687640363147259,0.7726902801320715,0.3215824503564864
LUNG,1562,0.09352203671986004,0.021585406286031096,0.1584612102239181,0.166369330761105,0.03545058807461881,0.382463684804003,0.056852782884794756,0.26344160005175016,0.6868286448094569,0.2820624673143829
HEART,1446,0.3262563393268787,0.03920911570188042,0.19798998148699992,0.2727086426090505,0.4415669209049889,0.44872785682170385,0.23025858537845043,0.2808134714156658,0.9501731793853043,0.5818017635798863
AORTA,867,0.1782006920415225,0.001229070958615952,0.15933425453970512,0.21381480822215118,0.06733309015754621,0.4219330230592444,0.06146733348562724,0.6035504995763584,1.009870500086299,0.39429546813952526
ESOPHAGUS,1353,0.23392461197339245,0.0001550697145004892,0.13411102690283677,0.18489962988079206,0.05463833528311247,0.49855948921846444,0.08622227650856842,0.8449896460261367,1.0679480956859677,0.8353068805519562
TRACHEA,1411,0.37576187101346564,0.004835809874068636,0.1611840016667225,0.2097736585487268,0.04580407744387368,0.5223998865449285,0.11283730837238992,0.9574734507978289,1.262316510644548,0.9704472836666754
RIB,117,0.28205128205128205,0.11204546056424995,0.3053858672645319,0.3488078705696731,0.8784603036036346,0.46090186355460405,0.21914493388852363,0.788735588252149,1.409628786737073,0.8277751460608868
LIVER,850,0.2634313725490196,0.09210257937103691,0.2691460890572126,0.33306426309743636,1.1997066640137641,0.4389784036664402,0.3613183335715662,0.7109461887233491,1.5427143040197024,0.9645923848101957
GALLBLADDER,153,0.16579520697167757,0.007785977420840963,0.21640632690987707,0.2596997768225934,0.1984037598583727,0.4693776961245568,0.24105074834601942,0.5691102588320601,1.1559859333459706,0.9936621113091701
STOMACH,20,0.0,9.681348852845852e-07,0.10811237497610202,0.1406135531135531,0.14133660558101382,0.21157348155975342,0.16246031746031747,0.5714285714285714,0.8042007341218189,0.8120300751879699
PANCREAS,57,0.5415204678362573,1.4262778919045884e-06,0.23129941297686826,0.26067824973188,0.11853180012444745,0.48081601711741667,0.2031956004092227,0.8071607590404583,1.1963710156433507,0.9310871876661352
SPLEEN,146,0.20365296803652966,1.8625429939494847e-06,0.17911148182212933,0.21769717802300495,0.057142234636749556,0.4212632803884271,0.2097137261520823,0.4871560707177145,0.9539373158875479,0.9627428887702859
KIDNEY,280,0.037500000000000006,1.937833788036601e-08,0.09439128035822995,0.1546305766910791,0.017656501551604687,0.2907680034637451,0.12796786726181908,0.20037786375349723,0.7316580220181106,0.9032524593629035
