Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1563,0.3157218465759732,0.08349657202870508,0.31914579099920737,0.33211431076834824,0.043499948253744036,0.5634889853587917,0.2368884818000999,0.19787908158067916,0.9987654682454326,0.3072513933567025
LUNG,1562,0.11396637400158527,0.022448833707893977,0.17049593518882228,0.18847061279128935,0.13097343165295144,0.40424184724402334,0.07556206964011496,0.1943651537074313,0.7106474107087194,0.27952955172644617
HEART,1446,0.4754379898570771,0.11954277765157811,0.32826065795621523,0.40480698009747995,0.9508864129468292,0.5703223906612,0.38547855033787004,0.2418685901919193,1.556399611358039,0.6046675119964288
AORTA,867,0.2516532103037294,0.025767068396316033,0.23155967556152565,0.27770222366835184,0.9657400541134029,0.4697308033326643,0.1589028865379471,0.6029841521905365,1.2084077858541615,0.3941836967243007
ESOPHAGUS,1353,0.63749692042375,0.2676810789974616,0.42301839235520994,0.46524351007208276,1.821474909507056,0.6709397354570038,0.36037238827100365,0.7919106533041397,-8.457812657889232,0.8349731783212352
TRACHEA,1411,0.7104535790219705,0.23251215234912348,0.5075085983875921,0.5474556254075506,1.7476746023506842,0.7005928703270256,0.4937763874050196,0.9564044040873931,-8.110790371615613,0.9704472836666754
RIB,117,0.32336182336182334,0.09136491877943666,0.294618952475569,0.3463114954824709,0.7176311380903229,0.4709640099452092,0.22650454958147265,0.788735588252149,1.437712514690228,0.8277751460608868
LIVER,850,0.25798039215686275,0.08405725307244656,0.2510281922728383,0.31559829863315647,1.0415386354740785,0.4249957018740037,0.3523058975767955,0.7109461887233491,1.466877556792899,0.9645923848101957
GALLBLADDER,153,0.13507625272331153,0.0019370898046928051,0.2110640540807797,0.25853326304228785,0.16557795523945007,0.47209129945125455,0.23686462945401815,0.5691102588320601,1.1475317852308822,0.9936621113091701
STOMACH,20,0.05,1.0773388761054114e-06,0.12866211593185697,0.15692888952479744,0.23144026027529369,0.23447127640247345,0.16246031746031747,0.5714285714285714,0.8033527088103952,0.8120300751879699
PANCREAS,57,0.5415204678362573,0.011444901038126442,0.2742702646440489,0.3061154443770682,0.31783903210273057,0.497938486044867,0.1913800767515938,0.8071607590404583,1.1998636838187249,0.9310871876661352
SPLEEN,146,0.20251141552511412,0.007562115532807285,0.1942320563904851,0.2299316574650091,0.19393374980505382,0.42431581591906614,0.21990155962758706,0.4856605655961014,0.9596731129451861,0.9627428887702859
KIDNEY,280,0.04029761904761905,4.98233825842507e-08,0.09985894485152794,0.1635863927157646,0.02338278542204155,0.31605537959507535,0.12779785077037398,0.20037786375349723,0.7420028765782192,0.9032524593629035
