Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1563,0.31800799080069714,0.08160382507608871,0.31621991267585414,0.3340304339681583,0.027949063398550997,0.5630780395527948,0.23680179365781998,0.2029204067505474,0.999564595617631,0.2974154034286508
LUNG,1562,0.11924220501365183,0.020156232845045582,0.16710721301872888,0.19312118346553409,0.12129842268446098,0.40904189487883436,0.08159442620892088,0.20057419923491293,0.7282465686712727,0.28546870226056303
HEART,1446,0.45367680958967266,0.110714027858267,0.31064348157931576,0.3819918610247181,0.8837719480758501,0.5459260650360402,0.35791576780014905,0.2522822900840543,1.3943272735356484,0.5798626494575876
AORTA,867,0.2765282583621684,0.02034056670126775,0.22144997686762175,0.2753830683228199,0.8492948726158559,0.4624180463427353,0.15112040564536805,0.60480115104849,1.1913169685023155,0.37457205810272226
ESOPHAGUS,1353,0.611049519586105,0.26429666224559534,0.4189954903371185,0.47005681948270395,1.8582634366866801,0.6734224453028801,0.3656408476069515,0.7841880854340216,2.020760102458589,0.8353068805519562
TRACHEA,1411,0.693999527521852,0.2472047563494277,0.5049674825235728,0.538498065132107,1.7753917140608102,0.6971346465177691,0.4909778641706353,0.9543067552600631,-7.1885830244810345,0.9704472836666754
RIB,117,0.31196581196581197,0.09638312795462292,0.29531623138348145,0.3367112433250901,0.7771547148434533,0.4701029783130711,0.22459997267689574,0.788735588252149,1.3732155310904988,0.8277751460608868
LIVER,850,0.27715686274509804,0.09777997659080158,0.2733543060760934,0.3350806701178086,1.322376020121587,0.4411238133206087,0.36312735183633016,0.7109461887233491,1.5752220617618697,0.9645923848101957
GALLBLADDER,153,0.1233115468409586,0.0029613755266396894,0.1920157957324449,0.2454562201723811,0.17050853009043426,0.4622342045011084,0.2248198115268473,0.5691102588320601,1.1182009596913185,0.9936621113091701
STOMACH,20,0.05,9.799607902859069e-07,0.10773533030126572,0.12880500768581266,0.09523137071481283,0.22066660225391388,0.16246031746031747,0.5714285714285714,0.8109104155932837,0.8120300751879699
PANCREAS,57,0.48742690058479526,0.0037234353150327124,0.28404322536883697,0.3187915269097383,0.6944376615836836,0.5047948297701383,0.24678943347673996,0.8071607590404583,1.40532923854353,0.9310871876661352
SPLEEN,146,0.22397260273972605,0.004066250258216026,0.20104215546403686,0.23066888219384024,0.18493231022470752,0.4316389021808154,0.23489311297530477,0.4876530936160267,0.9992865783607199,0.9627428887702859
KIDNEY,280,0.03732142857142857,2.5891296598249113e-11,0.10144428548379723,0.16434407962548983,0.027643741503353223,0.30685697197914125,0.13027407922028664,0.19262076609130896,0.7491026094479406,0.9032524593629035
