Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1563,0.2982369642158509,0.06257416474565673,0.29422531482044373,0.3161473803761037,0.025137396467755483,0.5553465819633396,0.2141467140324564,0.1994504147319377,0.9520094171279416,0.29324320880642685
LUNG,1562,0.12358877784614021,0.018678981322252257,0.16787030800785013,0.19808906682715027,0.13299462753730637,0.4115108082908064,0.082835380341997,0.19806823817983957,0.7326858640663083,0.2895996776544837
HEART,1446,0.40516366989396035,0.08825464282076138,0.27236993561742556,0.3407612080384847,0.7012698535492785,0.48584571872344484,0.3207646161072275,0.2755144720968504,1.1801015855793247,0.5743312272511376
AORTA,867,0.2357747020376778,0.016786196660067563,0.20431874784449547,0.25394810251312355,0.7429197949055596,0.45244510394479165,0.1284252662269631,0.605419667225884,1.1297060208511789,0.3754473627552148
ESOPHAGUS,1353,0.522480906627248,0.18545021080235707,0.34085277400717906,0.3883437647158062,1.3573612280465135,0.6213554889734639,0.28256675588988367,0.7872043265131092,0.9320287978963102,0.8353068805519562
TRACHEA,1411,0.6130167729742498,0.18370408499119972,0.423263128921626,0.46755070855109815,1.508591655001626,0.6590362650379908,0.40209541157137785,0.9545570514401569,-14.745250091061708,0.9704472836666754
RIB,117,0.038461538461538464,0.006473215187299049,0.14347977632368988,0.1744396593479556,0.04504979698202334,0.31530074787955,0.03980082121107763,0.788735588252149,0.8344255574752095,0.8277751460608868
LIVER,850,0.265686274509804,0.08594767787072567,0.26294828063744197,0.3224190750525196,1.1487174037583863,0.4330729004916023,0.3616416347973442,0.7109461887233491,1.5004868417638024,0.9645923848101957
GALLBLADDER,153,0.11459694989106753,2.1168953021271715e-06,0.20822722015817033,0.25227204839408324,0.08058211446388204,0.46557555284375457,0.2312157032168566,0.5691102588320601,1.0719896979317063,0.9936621113091701
STOMACH,20,0.0,1.6377556307730239e-06,0.12408603265786884,0.16184796490524042,0.2887667708827578,0.2611914277076721,0.16246031746031747,0.5714285714285714,0.8148419060928346,0.8120300751879699
PANCREAS,57,0.525438596491228,1.6019034797243945e-06,0.24245385791413326,0.2628062532984442,0.12393089172000724,0.47470867842958686,0.19198575762043255,0.8071607590404583,1.1860777226776167,0.9310871876661352
SPLEEN,146,0.21073059360730592,1.4570901094822404e-06,0.18846470995692038,0.2232368813626594,0.06687397182935154,0.4168150576010142,0.23293532951067195,0.4836770535400672,0.9601513517908571,0.9627428887702859
KIDNEY,280,0.030476190476190476,2.990989322880524e-08,0.09488920348320677,0.16178555321968255,0.018499505852454717,0.3102422194821494,0.1283368342466063,0.20037786375349723,0.739125663238087,0.9032524593629035
