Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1563,0.3133274452852188,0.08336678571298695,0.31750662828577325,0.33216074002675944,0.03155760257423857,0.5638199482525456,0.23812421817856777,0.2162617776852478,1.0070036452029874,0.3162181317927474
LUNG,1562,0.12110745279759366,0.024157044229357782,0.17187388431733083,0.1964504941682745,0.1467000798511613,0.4130551975683122,0.08702357475295587,0.2138084303394251,0.7353662744353812,0.29296937408985657
HEART,1446,0.4710696173351774,0.11806598312886056,0.32181311179625366,0.39387231469600614,0.8928370800925254,0.5536664605635331,0.3729931157743213,0.2689008045558466,1.4886449849700483,0.5855960740514627
AORTA,867,0.25868896578239137,0.02710940992938128,0.21807288308471148,0.2677664700520886,0.7673056978243067,0.4661618048688257,0.1341854229128771,0.6129740771432493,1.2044662198578546,0.44429562512227205
ESOPHAGUS,1353,0.6066149297856616,0.2632866873392163,0.4193290025342202,0.4653980875404957,1.8010804651638437,0.6706568164377854,0.35735664807803447,0.7783419885697065,3.835436979589354,0.8353068805519562
TRACHEA,1411,0.6805457122608081,0.22985556587379205,0.4930076424895904,0.529309598006696,1.6963190797378473,0.6913858238557482,0.49005180532147985,0.9513969833007263,1.2421038039641987,0.9704472836666754
RIB,117,0.3233618233618234,0.11568695782324287,0.31511718393491855,0.35863577217326836,0.9459377092346412,0.48459262751106524,0.23461674351568773,0.788735588252149,1.4570451860203582,0.8277751460608868
LIVER,850,0.2636666666666666,0.08416326549347836,0.25470759347256094,0.3143161725778911,1.1568801426152997,0.42393155034850627,0.35965169604470276,0.7109461887233491,1.476700514431204,0.9645923848101957
GALLBLADDER,153,0.11459694989106753,0.005097567967788135,0.20473954307285225,0.24636303815456168,0.1779026766223886,0.4583914533160091,0.21438823148742409,0.5691102588320601,1.0776080627305753,0.9936621113091701
STOMACH,20,0.0,9.109325070840351e-11,0.07350916948420715,0.11032409231635236,0.051996171406341586,0.19025476276874542,0.16246031746031747,0.5714285714285714,0.7920803782153854,0.8120300751879699
PANCREAS,57,0.4903508771929824,0.0338097547607847,0.3054196402993838,0.3412972953125674,0.8760584717082918,0.527246217978628,0.26961164050947334,0.8071607590404583,1.491053701644436,0.9310871876661352
SPLEEN,146,0.18858447488584473,0.004830033468763019,0.19090302415381524,0.2328487597599033,0.22936541619777945,0.42601888514544867,0.21867219538452415,0.46414026219411203,0.9454771488011318,0.9627428887702859
KIDNEY,280,0.03482142857142857,3.0940905910428816e-08,0.09356367206606274,0.1562729916832477,0.01756524715291427,0.2999364035470145,0.1296136483812844,0.20037786375349723,0.727996646183058,0.9015451097563942
