Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1563,0.3131103559126592,0.08257138977149427,0.3178103364031931,0.3349732341254399,0.030044609225175368,0.5640955747737384,0.2423886402142404,0.20642903257977763,1.007248444964633,0.30060311376752286
LUNG,1562,0.11519317927768633,0.02079210459448499,0.16686677889724566,0.19354426304216604,0.10872353438837681,0.41057380999554133,0.08280782988287838,0.19986593431883676,0.7305553213303143,0.2924190796593793
HEART,1446,0.46312816966343934,0.10978680672132873,0.31211792684206935,0.3870389261574092,0.8495036507433668,0.5508943411159647,0.3722769366865148,0.26214605310986594,1.4781841842805652,0.5830455439590749
AORTA,867,0.2654171472510573,0.019779749631840354,0.22659720703578298,0.27657155557522606,0.9166771660402572,0.4637338244791262,0.1504133276067564,0.605419667225884,1.1873712464538457,0.3754473627552148
ESOPHAGUS,1353,0.63220004927322,0.2887277715405343,0.44418931929992445,0.4902539209366901,2.0424879773812377,0.684295728439238,0.3867124188866945,0.7816803995665115,2.888122145303654,0.8353068805519562
TRACHEA,1411,0.6942712024568862,0.24517393476339994,0.5015187086455248,0.5381466641866709,1.7301053614495874,0.6964940791599806,0.48399671610056405,0.9551408916192217,-8.182360629900172,0.9704472836666754
RIB,117,0.32905982905982906,0.11280616449814959,0.31823349457773453,0.3631913650859961,0.9447404704124066,0.4911394114168281,0.23857012631522437,0.788735588252149,1.5015596857172537,0.8277751460608868
LIVER,850,0.245078431372549,0.07658022347857238,0.24284465858402224,0.3119817528284744,0.9594348448619835,0.42214670069077437,0.3471554222806272,0.7109461887233491,1.4044082483578832,0.9645923848101957
GALLBLADDER,153,0.11241830065359476,0.0071954087627165595,0.21351918955931545,0.261108641765953,0.26887142156547994,0.4729640624102424,0.23536503971913433,0.5691102588320601,1.1059016032488624,0.9936621113091701
STOMACH,20,0.0,2.0549764493384814e-10,0.08958856377570922,0.12201521250585727,0.06627242650692008,0.20332825183868408,0.16246031746031747,0.5714285714285714,0.7804505055769932,0.8120300751879699
PANCREAS,57,0.5576023391812865,3.279866994215674e-10,0.2584474558263199,0.283885192486505,0.22999474224816333,0.4852555964076728,0.22391975929127633,0.8071607590404583,1.2210671989732238,0.9310871876661352
SPLEEN,146,0.20159817351598175,0.004705641486762764,0.1962585272901735,0.2355760682062881,0.16948561662960254,0.4315907648981434,0.2304899818598449,0.4546749739002927,0.9730430278576193,0.9627428887702859
KIDNEY,280,0.03812925170068027,2.0405710940619644e-11,0.09430402997301181,0.15959598811571063,0.012014135269526969,0.30398572172437394,0.12556493289459897,0.20037786375349723,0.7356584005133122,0.9032524593629035
