Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1563,0.34769816360507333,0.10542584324311777,0.34362394252757505,0.3789024103953676,0.08432420828150423,0.596052569337785,0.268244569846962,0.026410352428896236,1.1041637253305403,0.3238461859289375
LUNG,1562,0.16925035058837873,0.012743144441790573,0.16236994415442718,0.1872807100373759,0.15072461561658088,0.4416761251784165,0.07378544941004628,0.059816270040404663,0.7054839087140634,0.2113628985697373
HEART,1446,0.6256108805901338,0.22366009670793582,0.4542718800451745,0.5648137259352622,0.6769452151150301,0.699036460611995,0.5021870330323338,0.0,2.4633264579717693,0.6864962414678936
AORTA,867,0.350991376942934,0.13347979861615542,0.3438858965073762,0.3272206299255058,0.3257720573204831,0.5470250131349662,0.12461838859115162,0.635756837583557,1.6026411044860855,0.6463821589674421
ESOPHAGUS,1353,0.651170238975117,0.16656837517708017,0.3185872880750898,0.41968372740096543,0.6753471230172683,0.5995311277580543,0.4261694668848018,0.8309728487583189,2.0112064609966036,0.8354708943057501
TRACHEA,1411,0.8170918969997635,0.25506206131983716,0.4999298286647302,0.5573387946347664,0.6017798984794999,0.6928155116794973,0.3184206243675956,0.9574734507978289,-3.4724491349483473,0.9704472836666754
RIB,117,0.029914529914529916,1.052001413959971e-06,0.1033290947992632,0.16674671200391658,0.020810619669325757,0.2834023991201678,0.03456303905021854,0.788735588252149,0.8169420423128364,0.8277751460608868
LIVER,850,0.561313725490196,0.38246980280858894,0.5561547352059539,0.6158105559255328,1.6978805458255184,0.6751175511584563,0.593190083488461,0.6904370564783392,-1.6794239466846412,0.9645923848101957
GALLBLADDER,153,0.2799564270152506,0.06955175200499959,0.24905083395888428,0.274565674499753,0.22798866987291586,0.4084392674997741,0.20956649130023747,0.4944153400633586,1.020839043973102,0.9936621113091701
STOMACH,20,0.0,2.1959731641856293e-10,0.09564384426377234,0.12387563717672079,0.053174159242809195,0.2007320672273636,0.14246031746031745,0.5714285714285714,0.7369427496908512,0.8120300751879699
PANCREAS,57,0.5035087719298246,0.008732877535372262,0.19931512655313674,0.22764117139880807,0.09575490075944075,0.43865017671334117,0.1561461586229388,0.8071607590404583,1.0096854646934479,0.9310871876661352
SPLEEN,146,0.1598173515981735,1.0147327375532799e-10,0.08783998618527672,0.13017023525145852,0.016183569153577323,0.2970410830354037,0.12443465970863234,0.3902321883802481,0.7126351308333555,0.9627428887702859
KIDNEY,280,0.13392857142857145,0.09125943223542937,0.29948135882927157,0.2798094952457328,0.1564897392266044,0.4586643763950893,0.22002660109753178,0.40251736938744137,1.0545341399302495,0.9048851124241282
