Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1563,0.31634021590835415,0.08302850105387365,0.317532066786289,0.3350514125729819,0.02491502449745359,0.5643576288253774,0.23870864135520414,0.18445152060381934,1.0019435557792067,0.28927300016027707
LUNG,1562,0.1145245901487899,0.021174813604220185,0.16751667631894562,0.19275448565562295,0.1265032604610846,0.4065432330252419,0.08570346149865761,0.17885361721026652,0.7239006805508162,0.2790546843929147
HEART,1446,0.473867154053876,0.10972089208938014,0.314175822874071,0.38968689374722776,0.839011503015831,0.5513251022349419,0.367974569836714,0.2739707758534169,1.5002472998238094,0.5812840480162776
AORTA,867,0.2706651287966167,0.01860277424170447,0.2229636038851413,0.2725897693119101,0.8968221728420909,0.46586233714322595,0.1539189365392299,0.6033521502529253,1.1793344730760693,0.37451969310791716
ESOPHAGUS,1353,0.6150776053215077,0.2795193687208464,0.4279406645855508,0.47609084546511926,1.922526920321174,0.6776537067874308,0.36594801649204317,0.7828077053177728,11.757003576728502,0.8353068805519562
TRACHEA,1411,0.7052326954878337,0.24626237252001132,0.5153455633753148,0.5507358283318895,1.8637891044642187,0.7037108772448155,0.4963817679340123,0.9543574649036339,-6.211589584650555,0.9704472836666754
RIB,117,0.28205128205128205,0.08741178951971437,0.2956841916841698,0.32022509691588735,0.6407337142936365,0.4574063466145442,0.19825298158631494,0.788735588252149,1.2562195821512658,0.8277751460608868
LIVER,850,0.268764705882353,0.09165928284704539,0.2637255720557597,0.3263400623925072,1.1702276709669426,0.43605447425561794,0.3594375377551483,0.7109461887233491,1.534455994299246,0.9645923848101957
GALLBLADDER,153,0.17320261437908496,0.007863723016350665,0.20679553447983387,0.25772040424164455,0.22959110165890814,0.4715462712680592,0.23621103468277635,0.5691102588320601,1.1428960876880938,0.9936621113091701
STOMACH,20,0.05,1.3788785833575767e-10,0.08875468790418908,0.11870816417171917,0.08467642335278357,0.20048293471336365,0.16246031746031747,0.5714285714285714,0.8032618217460726,0.8120300751879699
PANCREAS,57,0.5488304093567251,0.035567365093418866,0.3318183983357728,0.3484318708996692,1.1755362104958287,0.5319031476974487,0.31216119621692373,0.8071607590404583,1.780053177149187,0.9310871876661352
SPLEEN,146,0.21255707762557077,0.011310451860951034,0.20103417356140685,0.23674521922483877,0.17052128844350042,0.4282187766408267,0.21026547653259983,0.4560929394588885,0.9562143048316547,0.9627428887702859
KIDNEY,280,0.036224489795918365,0.0002300014348901835,0.09999159285716325,0.16325175297309377,0.01825381993483573,0.30540861317089624,0.127332361935082,0.19676283539920134,0.738469842260947,0.9032524593629035
