Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1563,0.32279894432005757,0.09232748699292241,0.3277379210583821,0.3409847209914139,0.04075722142430782,0.5670190259042033,0.2432719777840009,0.2388024574393027,1.03740971231937,0.3304718649835886
LUNG,1562,0.139095431172896,0.02831523554354043,0.1830025747131448,0.20509647072894086,0.13634052315491177,0.42054536900508116,0.08824279294689855,0.23895505425501232,0.7595276769693105,0.30650887795469967
HEART,1446,0.4713692946058091,0.11587433106511771,0.3194676278682638,0.3953522348865964,0.9081476119920463,0.5557984188714298,0.3762915641290049,0.26300866688674684,1.5071996106682863,0.5943408531436829
AORTA,867,0.2694540561322568,0.026986853743487416,0.22232695768975885,0.2742294923572215,0.8163698051881071,0.46888193192503996,0.14265943026345812,0.6183777494616183,1.2183169823851536,0.4479641723181181
ESOPHAGUS,1353,0.6218280364621827,0.28600287413012837,0.43797324168232843,0.48333484748515937,2.098068423898643,0.680990720403168,0.37729299051609977,0.7785571038524804,10.616889558778235,0.836066730714588
TRACHEA,1411,0.7015709898417198,0.2518881918503092,0.5139545235696948,0.5471492032932357,1.8099106877854452,0.7020637401023881,0.4972516596719289,0.9514815564008022,-3.2680713557280496,0.9704472836666754
RIB,117,0.3860398860398861,0.14344810950400494,0.36738891339163954,0.4088230795758217,1.160621831928286,0.5194517613476158,0.2989266264153142,0.7794642569469193,2.1590025874513095,0.8237030319189819
LIVER,850,0.24352941176470588,0.08977961930083596,0.25899021538705524,0.3243088486531945,1.103354746550947,0.43351278746829314,0.35328145455790694,0.7114415447605009,1.5021287080776193,0.9645923848101957
GALLBLADDER,153,0.14270152505446623,0.004523193479552096,0.2160904714578963,0.25967943688717954,0.19097183149397207,0.47448257897414414,0.23147813142046128,0.5616300536075333,1.0948947607699038,0.9936621113091701
STOMACH,20,0.0,1.6215969224483384e-10,0.10448647103100143,0.1483982374694449,0.13439057851822075,0.20624704658985138,0.16246031746031747,0.5714285714285714,0.8007311716079804,0.8120300751879699
PANCREAS,57,0.5152046783625731,0.01979052787894712,0.32562903396875553,0.3580679552035294,1.1739588327303887,0.537003076913064,0.2837511559647783,0.8071607590404583,1.8268304734812395,0.9310871876661352
SPLEEN,146,0.2415525114155251,0.0044512351670735325,0.17918741606796842,0.22331859092755713,0.14674511487108038,0.4272701585129516,0.2208788547829644,0.49069834275313723,0.9691081277595841,0.9627428887702859
KIDNEY,280,0.04297619047619047,9.925435941641752e-05,0.09762377388776776,0.16052784080752894,0.016016370970167247,0.2950249305793217,0.12944183502338083,0.2012002119992337,0.7396404356838501,0.9032524593629035
