Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1563,0.32023540305407755,0.08574355440369603,0.32215968095142344,0.33799559128001205,0.03524560255378537,0.566160403759298,0.24077845739200857,0.2129917340681435,1.019888738966499,0.3158613356645501
LUNG,1562,0.1275168919855219,0.023664404662296176,0.1736281549067054,0.19633413286782916,0.11631428787039791,0.4117380753064125,0.08279733777288185,0.2150344840173477,0.7365071458459516,0.2965857452879313
HEART,1446,0.4691875782124745,0.11436906502090667,0.31947501755268276,0.39426372224784734,0.8660270026620838,0.5558021784158498,0.3781386726754605,0.26394463192521983,1.479179082923167,0.5910864066215074
AORTA,867,0.2849096501345636,0.02876471512267143,0.236795273079222,0.2848122048679694,0.9341057011847341,0.47473693529902306,0.1558418370544095,0.6145403379934401,1.2432684295275964,0.4425591108252885
ESOPHAGUS,1353,0.6292806109879282,0.26771334821385656,0.42347965343946375,0.47193374929226356,1.8920814899964504,0.6744028361567901,0.36840156239543903,0.7841622571448831,0.36328482749390545,0.8353068805519562
TRACHEA,1411,0.6959248759744862,0.2412391583833915,0.5003130905513279,0.5374221351499217,1.794804953919485,0.6961999196773045,0.4865955841150737,0.9543769174390704,-5.769429876702695,0.9704472836666754
RIB,117,0.3831908831908831,0.12701353798115692,0.34354721841474023,0.3957210642432797,1.099480782640189,0.5172070774257692,0.2640774704877269,0.788735588252149,1.7834849676312805,0.8277751460608868
LIVER,850,0.2815098039215686,0.1016696155652866,0.2784474535553406,0.33987910285922746,1.2308318092152377,0.4460898569050957,0.3644465344748535,0.7109461887233491,1.624166959208528,0.9645923848101957
GALLBLADDER,153,0.11328976034858387,1.677319070894206e-06,0.2094700699195874,0.2608073914633027,0.14311951963866473,0.4687609006376827,0.2146112836712606,0.5691102588320601,1.1022591132345287,0.9936621113091701
STOMACH,20,0.0,1.0215816369356277e-06,0.1126016988505723,0.13881562881562884,0.1480735447127462,0.2207343876361847,0.16246031746031747,0.5714285714285714,0.8087190050951744,0.8120300751879699
PANCREAS,57,0.5532163742690058,0.019323502806047783,0.2977450546777187,0.33786864124865035,0.7127976115926271,0.5154869038807718,0.2570499332109239,0.8071607590404583,1.4177863620663003,0.9310871876661352
SPLEEN,146,0.2009132420091324,0.005525352656485807,0.17571627255405278,0.21528261880222133,0.1549786811228586,0.4216364920139313,0.21656847718491554,0.49040467992925685,0.9541692551717662,0.9627428887702859
KIDNEY,280,0.04136904761904762,0.0005390534224399298,0.09431553603165373,0.15626363436729485,0.017234653272251522,0.29653751935277667,0.1304501398911505,0.20433778243665976,0.7348318802010569,0.9032524593629035
