Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1563,0.3816528285818115,0.11854991451606092,0.3707243983974301,0.4029140953379203,0.0622494833510994,0.619944176075936,0.2524231290044698,0.2750035498456269,1.0919727324173603,0.3531842125997431
LUNG,1562,0.2209166615856757,0.02913984389005309,0.22869411684453525,0.27538172565086344,0.23564742984583054,0.49637201043005635,0.13987478556424668,0.21144791176421657,0.8159916697761429,0.2676387631031498
HEART,1446,0.5907791609036422,0.14776668076888977,0.48611778263329086,0.5142789295807366,0.44513334340783167,0.6864067396022802,0.41782668911991094,0.09933751990338649,2.2480060054144064,0.6689041449425249
AORTA,867,0.13990772779700114,0.07094104744807718,0.18353806687184152,0.1801102190547637,0.41123789871318406,0.42864142648764,0.06592238828170355,0.6387054063976666,1.0693519036563557,0.5820678285025782
ESOPHAGUS,1353,0.832027593003203,0.4369113077468733,0.6114838271403455,0.636562415114315,1.6138307080440282,0.7922814157567726,0.44907413275298874,0.8449896460261367,-58.49559251117685,0.8353068805519562
TRACHEA,1411,0.5703283723127806,0.1359324471819314,0.46161801652890194,0.40455162126093847,0.315786949118014,0.5944379949130376,0.2511365711223968,0.9574734507978289,2.5654919060277646,0.9704472836666754
RIB,117,0.4829059829059829,0.2341380613082681,0.48778651753053154,0.5570130869712064,0.9101367724751233,0.6627415250509213,0.44431291154518904,0.788735588252149,3.3790696362733357,0.8277751460608868
LIVER,850,0.5583725490196078,0.28178335173885827,0.49566755787547556,0.622205110865436,0.2377576549202188,0.700284621294807,0.6024637218242208,0.7084445152011769,4.878787324676565,0.9645923848101957
GALLBLADDER,153,0.23006535947712414,0.011082787314457913,0.16448329321142474,0.19449529087858144,0.32017041899715126,0.3996325928011751,0.02314319667260844,0.5691102588320601,0.8131751209795473,0.9936621113091701
STOMACH,20,0.0,2.0238130887254664e-14,0.08272026353889414,0.10115971747550696,0.045935091073870185,0.17063263058662415,0.0953968253968254,0.5714285714285714,0.7159561965795889,0.8120300751879699
PANCREAS,57,0.5839181286549707,0.08218795591342296,0.25863263600466,0.2112412484006455,0.4697632903126534,0.4222300219954106,0.24013263997784123,0.8071607590404583,0.9128015889885422,0.9310871876661352
SPLEEN,146,0.13127853881278537,2.5187220484450842e-08,0.011732391135279688,0.030072806056891468,0.01753896470198536,0.1785293601147116,0.005479452054794521,0.0343940990516333,0.5707068310038937,0.9627428887702859
KIDNEY,280,0.025595238095238098,3.248165314493733e-15,0.08462550058580806,0.1333567986585394,0.016978252027423812,0.30873529825891766,0.13886673992290494,0.20037786375349723,0.714530367880132,0.9032524593629035
