Label,Precision,Recall,F1,Support
Medical material,0.0,0.0,0.0,158
Arterial wall calcification,0.47720364741641336,0.36091954022988504,0.4109947643979057,435
Cardiomegaly,0.5,0.012195121951219513,0.023809523809523808,164
Pericardial effusion,0.0,0.0,0.0,110
Coronary artery wall calcification,0.4895833333333333,0.2422680412371134,0.32413793103448274,388
Hiatal hernia,0.17733990147783252,0.3302752293577982,0.23076923076923075,218
Lymphadenopathy,0.5555555555555556,0.01256281407035176,0.024570024570024572,398
Emphysema,0.43902439024390244,0.1180327868852459,0.18604651162790697,305
Atelectasis,0.325,0.25,0.28260869565217395,364
Lung nodule,0.5046153846153846,0.6988636363636364,0.586063132817153,704
Lung opacity,0.5245098039215687,0.7062706270627063,0.6019690576652602,606
Pulmonary fibrotic sequela,0.31666666666666665,0.13348946135831383,0.18780889621087313,427
Pleural effusion,0.547945205479452,0.6349206349206349,0.5882352941176471,189
Mosaic attenuation pattern,0.16071428571428573,0.07142857142857142,0.0989010989010989,126
Peribronchial thickening,0.0,0.0,0.0,175
Consolidation,0.26666666666666666,0.09395973154362416,0.13895781637717122,298
Bronchiectasis,0.037383177570093455,0.023668639053254437,0.02898550724637681,169
Interlobular septal thickening,0.4,0.016129032258064516,0.031007751937984496,124
Weighted Average,0.3842908687460132,0.29805897723030983,0.29106389668444954,5358
