Label,Precision,Recall,F1,Support
Medical material,0.125,0.006329113924050633,0.012048192771084336,158
Arterial wall calcification,0.4353312302839117,0.31724137931034485,0.3670212765957447,435
Cardiomegaly,0.5714285714285714,0.024390243902439025,0.04678362573099415,164
Pericardial effusion,0.0,0.0,0.0,110
Coronary artery wall calcification,0.413265306122449,0.20876288659793815,0.2773972602739726,388
Hiatal hernia,0.18316831683168316,0.16972477064220184,0.17619047619047618,218
Lymphadenopathy,0.3333333333333333,0.04020100502512563,0.07174887892376682,398
Emphysema,0.3939393939393939,0.12786885245901639,0.19306930693069307,305
Atelectasis,0.42276422764227645,0.14285714285714285,0.2135523613963039,364
Lung nodule,0.47007182761372707,0.8366477272727273,0.6019417475728156,704
Lung opacity,0.6164079822616408,0.45874587458745875,0.5260170293282878,606
Pulmonary fibrotic sequela,0.24369747899159663,0.06791569086651054,0.10622710622710624,427
Pleural effusion,0.4921875,0.3333333333333333,0.39747634069400634,189
Mosaic attenuation pattern,0.16393442622950818,0.31746031746031744,0.2162162162162162,126
Peribronchial thickening,0.125,0.005714285714285714,0.010928961748633878,175
Consolidation,0.625,0.050335570469798654,0.09316770186335403,298
Bronchiectasis,0.07142857142857142,0.01775147928994083,0.02843601895734597,169
Interlobular septal thickening,0.3333333333333333,0.016129032258064516,0.03076923076923077,124
Weighted Average,0.3907347756517889,0.25905188503172827,0.26297153200905554,5358
