Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1563,0.28794456236874655,0.1001950901112372,0.3221638939475984,0.36470145446226065,0.04074558825034083,0.5899618544108732,0.21863768708881653,0.28003772560998297,0.9681445932016045,0.3351654826803399
LUNG,1562,0.2053645333895014,0.0409053266065968,0.23918475713323642,0.28435797124282686,0.20121059587773935,0.4827729187304781,0.14264913570010387,0.25078643556295943,0.8535634596064702,0.2812900891737997
HEART,1446,0.20871698610287823,0.07983165969088768,0.23284912204844174,0.2677999300565516,0.2718891838697779,0.49491189463504615,0.12790425134341737,0.17065472394065984,0.8629389551879073,0.42885356755990667
AORTA,867,0.0980392156862745,0.06925925670734646,0.19539989933290466,0.20300646275921244,0.17988125334790322,0.44187236241265837,0.04245269367231788,0.5943312567718797,1.0333202806441795,0.4057259998020127
ESOPHAGUS,1353,0.8319044099531906,0.43595478958422773,0.6108255530786549,0.6359164765707094,1.6059251282119458,0.7919993142419097,0.4481032263497099,0.8449896460261367,-50.79176490056354,0.8353068805519562
TRACHEA,1411,0.727888022678951,0.24611096969821436,0.5721317202732851,0.5784753469072429,1.8304217801880291,0.7132507089939969,0.5766684997264605,0.9124911018400708,-3.115900335612563,0.9704472836666754
RIB,117,0.0028490028490028487,0.18803013427227913,0.3770920962798987,0.3978439166045238,0.8541512539834025,0.5500454642833807,0.39792664600356903,0.7613778902722697,1.1128229206007343,0.8277751460608868
LIVER,850,0.0,1.8221106038972673e-15,0.009126520782058625,0.0,0.00015331807756302086,0.045239503138205586,0.0,0.7109461887233491,0.5467255192048791,0.9645923848101957
GALLBLADDER,153,0.051960784313725486,8.687936544534284e-14,0.010175919314125195,0.0,0.00045688421002267434,0.06581521039110383,0.0,0.5691102588320601,0.5999295572074034,0.9936621113091701
STOMACH,20,0.0,1.675285435105835e-08,0.038932649618682286,0.04757326007326008,0.03581627280481682,0.15887607634067535,0.0,0.5714285714285714,0.678546995455238,0.8120300751879699
PANCREAS,57,0.017543859649122806,9.340644308449552e-20,0.024787565944507123,0.03755980861244019,0.011560721393549632,-1.2769505914888883,0.044391281233386495,0.8071607590404583,0.12841788424240763,0.9310871876661352
SPLEEN,146,0.0643835616438356,8.918571211487283e-14,0.0,0.0,0.0,0.050155932568523985,0.0,0.0,0.5543578059588111,0.9627428887702859
KIDNEY,280,0.0,1.1329095660094777e-11,0.033528248095723814,0.01786419103648508,0.004977009550905001,0.07933802200215204,0.004919590643274854,0.18862848417837683,0.5366086962656141,0.9032524593629035
