Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1563,0.23782331978109328,0.03639267454796538,0.22422406328572825,0.2733699706607889,0.010525202687049297,0.5329699019018992,0.1387409776589974,0.3346223384459963,0.773153998736376,0.32300193942915095
LUNG,1562,0.17371809617328177,0.04567916619408948,0.22946343197114843,0.26874388255629666,0.1275479499962711,0.48373168600048205,0.12245050722456945,0.30264481009433697,0.8544642929835571,0.33117504393799035
HEART,1446,0.1331719686491471,0.010714471088819868,0.11822819521384301,0.15394180667162474,0.12748607706927942,0.2888627545920975,0.08698122179938143,0.2856261581109563,0.6173193579940375,0.5118533470413588
AORTA,867,0.010803537101114953,2.349739663859245e-11,0.050075085615260986,0.03991530409903747,0.0075155753028855275,0.1441011316086044,0.00459321734135065,0.6022493684793006,0.6177487352542846,0.32182129568669327
ESOPHAGUS,1353,0.08826065533382606,0.018506775981552124,0.09157973383646757,0.09367732980563641,0.14604518728338978,0.2655701871413437,0.10271013833685023,0.361868106627528,0.722206185737878,0.3881321877626527
TRACHEA,1411,0.549846444601937,0.16202650136294214,0.46684527961528044,0.5037628975731354,0.3250970740848589,0.5766805237189495,0.2528628037841361,0.9553248001729202,16.2506053864479,0.9704472836666754
RIB,117,0.0,1.5361561019404722e-08,0.050957272386634965,0.045177114117971866,0.009032876776057304,0.09177534581504317,0.021794871794871794,0.788735588252149,0.6161602785735377,0.8277751460608868
LIVER,850,0.0,1.8221106038972673e-15,0.001180043767782776,0.0,1.4446840863484683e-05,0.024382709689876613,0.0,0.7109461887233491,0.5283632859479599,0.9645923848101957
GALLBLADDER,153,0.06938997821350763,9.200568331828848e-14,0.008584113418581963,0.0,0.00036030013547236323,0.06300840811694369,0.0,0.5691102588320601,0.6164032186669444,0.9936621113091701
STOMACH,20,0.0,1.1513454514203623e-14,0.020564663578653733,0.0,0.0059397412846027,0.019720837473869324,0.0,0.5714285714285714,0.6296635617680383,0.75
PANCREAS,57,0.0,1.1366305295388212e-13,0.01767599084018187,0.0,0.0014827044258806641,0.21437158344084756,0.0,0.8071607590404583,0.5896908355420255,0.9135030426557115
SPLEEN,146,0.062100456621004566,8.918571211487283e-14,0.0,0.0,0.0,0.05027908964516365,0.0,0.016235413495687467,0.5539244767492335,0.9627428887702859
KIDNEY,280,0.054617346938775506,3.0101310298512317e-18,0.006454894574359762,0.0007936507936507938,7.8935759599412e-05,-0.04204515043113913,0.0,0.18334923945450263,0.5223015227950394,0.9032524593629035
