Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1563,0.2914238837406953,0.15911597097571822,0.3706385560644558,0.3638432618267034,0.08041576127204646,0.5989591460615415,0.22361678159927417,0.38241438929188404,1.0377556855587922,0.38532184405164777
LUNG,1562,0.16132587536236703,0.0894464462512491,0.27198530721714637,0.2654848153724276,0.19095144408346776,0.5021037224312903,0.14624967787665266,0.3498188061509188,0.8844284653820819,0.32693392090678575
HEART,1446,0.4231739445432392,0.1393854338449497,0.32006301164565637,0.3544283755546269,0.6019722264604503,0.6207052867442245,0.28168125613484546,0.06952122344023061,1.173597159920011,0.6805505543541804
AORTA,867,0.042137639369473276,0.02107329270566842,0.11075350098202276,0.10652007972946453,0.2375957794864145,0.3427079111990769,0.021613227959977183,0.5937556244830562,0.8285904096368893,0.4209349042910878
ESOPHAGUS,1353,0.4772727272727271,0.43490377239547157,0.5652198672647536,0.5866048538962211,1.0118768067503825,0.7479109310346097,0.41766535437068075,0.8449896460261367,4.428326826174618,0.8353068805519562
TRACHEA,1411,0.7376683203401841,0.21707694857899038,0.5503002118162401,0.5872462823526612,0.5256670521276743,0.6946449376098828,0.4772428964845691,0.9535584587892862,-9.66922641177846,0.9704472836666754
RIB,117,0.621082621082621,0.21166400570508953,0.4917444856420712,0.48015036129669064,0.6149601887642516,0.6102766552542009,0.35528778486030205,0.788735588252149,2.7528343849944363,0.8277751460608868
LIVER,850,0.14213725490196077,0.10196574907038745,0.32116367810343077,0.32420492083203145,0.33705708321792205,0.4863176662781659,0.2300139908187203,0.0,1.165287450695032,0.9640299637633456
GALLBLADDER,153,0.14270152505446623,9.200568331828848e-14,0.0,0.0,0.0,0.12005583016700994,0.0,0.5691102588320601,0.6626896471792795,0.9936621113091701
STOMACH,20,0.0,1.0047475847371178e-06,0.1122710828543323,0.14575952122315056,0.19448513583247107,0.22979196906089783,0.16246031746031747,0.5714285714285714,0.7465158788652124,0.8120300751879699
PANCREAS,57,0.468421052631579,0.06895681289459865,0.35857198382449884,0.23976483175769003,0.27556016040394216,0.4371251704400046,0.24984469721311828,0.8071607590404583,1.3079128665151036,0.9310871876661352
SPLEEN,146,0.12922374429223746,0.08695621793930479,0.3113054472320048,0.27987310364775836,0.3029590000641494,0.4652848427426325,0.18735006935047227,0.0,0.9333774312910293,0.9627428887702859
KIDNEY,280,0.05672619047619047,0.10249210208125417,0.28673820682205725,0.2892775275554733,0.1803380789752785,0.4671822718211583,0.22078718168056588,0.324659876483441,1.1059910449584218,0.9032524593629035
