Organ,N,GREEN,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1563,0.24755673344924786,0.17886110329285762,0.40644656881986513,0.34086676999090937,0.04526299070830664,0.5899474656665775,0.2016514724806006,0.3922286024835991,0.9959224233537135,0.42202893017164067
LUNG,1562,0.14312396417069911,0.12615256738880054,0.34875949199721046,0.25909759293963575,0.06332751606979338,0.5242423145017001,0.15994583550563482,0.4036023274603711,0.9451274318567114,0.38639230938953295
HEART,1446,0.30258183494698015,0.12215358796482083,0.3077398936680425,0.3365822918415057,0.44237413101558754,0.5814202071720139,0.24213499867223717,0.20952149071470613,0.9677733876463082,0.714986887291054
AORTA,867,0.04046520569011918,0.018415903519647246,0.1017171955475095,0.08815702966481691,0.27883868301392517,0.33579248341172074,0.012312775752950585,0.0,0.8161789957058341,0.3754473627552148
ESOPHAGUS,1353,0.4780118255728011,0.43478242428148445,0.5651008905609025,0.5866870662448944,1.0085124134116008,0.747280475481827,0.418014746294352,0.8449896460261367,2.30777409198178,0.8353068805519562
TRACHEA,1411,0.7219229860618946,0.21157301517244204,0.5463727341988434,0.45619237841318133,0.5291318455740994,0.6086670431070172,0.40922778300524587,0.6067216937775043,9.465737621036434,0.9704472836666754
RIB,117,0.18518518518518517,0.19617450034027073,0.3653095781094059,0.28810319898131276,0.1552961796404123,0.48447802688321495,0.21102817633737692,0.6425991151824956,1.1847590576900597,0.756639264621848
LIVER,850,0.11950980392156862,0.062219799890017906,0.2116297303230829,0.23028306769174003,0.2419036714383513,0.38094550742822536,0.2160803892213052,0.0,0.9249823021494514,0.9645923848101957
GALLBLADDER,153,0.0,6.652971392182311e-14,0.0,0.0,0.0,0.10348316423254075,0.0,0.42426177031931017,0.5836037971913016,0.9936621113091701
STOMACH,20,0.0,4.104759178470189e-10,0.11030408789874217,0.12567643727624883,0.08874443066643896,0.2351476401090622,0.143015873015873,0.5555555555555556,0.6823094181684409,0.8120300751879699
PANCREAS,57,0.07894736842105263,1.8633002076472787e-06,0.1467260670920884,0.1172633913012198,0.10677648239053612,0.27941397825876874,0.12516339869281046,0.7108415039810693,0.7389450651034675,0.583023214602162
SPLEEN,146,0.08926940639269407,0.0682418972427409,0.20017897118775105,0.16465806702105779,0.2527998123830277,0.3271011220265741,0.12957313972624204,0.3226848215822489,0.7651916193686763,0.9627428887702859
KIDNEY,280,0.09107142857142855,0.06830522735485854,0.2684636389623365,0.3075426868088259,0.22221179541694602,0.4763825689043317,0.2161200154635875,0.17580994419724955,1.0153926771652884,0.9032524593629035
