Organ,N,ACC,GREEN,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1564,0.0,0.0,0.0,0.0,0.0,0.0,0.39713798296293223,0.0,0.001442876284066521,0.0,0.0,0.0,0.0,0.0
LUNG,1548,0.0,0.0,0.0,0.0,0.0,0.0,0.3248898226336321,0.0,0.03228617265968771,0.0,0.0,0.0,0.0,0.0
HEART,1352,0.0,0.6119983915656992,0.0,0.0,0.0,0.05996381986872159,0.4276916367739879,0.19017959044059743,0.00018059067337019167,0.5119733810424805,0.33269973042877693,0.18775885872066267,1.088946877991462,0.7243145659721019
AORTA,683,0.0,0.20882834832322386,0.0,0.0,0.0,0.05800463973598375,0.3513993665000137,0.20211881984935204,0.015535697673718717,0.45136958360671997,0.06261172694600795,0.0045045045045045045,0.9405948584244925,0.625101989388646
ESOPHAGUS,1286,0.0,0.2595077637068306,0.0,0.0,0.0,0.1077530049221378,0.42988193548323184,0.23900379366525057,0.0002328755562157544,0.5344345569610596,0.2675143669444251,0.020452885317750184,1.0406083051660462,0.9001879596461584
TRACHEA,1345,0.0,0.8147946539210479,0.0,0.0,0.0,0.07495219500940413,0.423371462523887,0.19573222888780842,4.358196928603258e-05,0.5185416340827942,0.19224835714640365,0.8973471741637832,1.142830906079047,0.9835114121376201
RIB,48,0.0,0.008333333333333333,0.0,0.0,0.0,0.019970652644035913,0.17692419796520284,0.10123944223607624,3.888021062532311e-14,0.147016704082489,0.08016294649676779,0.2558139534883721,0.5904790464134491,0.5724830509607799
LIVER,824,0.0,0.15882695715826783,0.0,0.0,0.0,0.05308000093044156,0.34901791246106706,0.18429547588312592,0.001650320127227404,0.4092074930667877,0.15987085891569794,0.10192525481313704,0.7864588283746002,0.9540323503093608
GALLBLADDER,153,0.0,0.09511100736590933,0.0,0.0,0.0,0.013833446525360437,0.17109485526639653,0.09329010561173401,0.0002044415304159129,0.25943097472190857,0.045608903396049116,0.08695652173913043,0.5967135739673486,0.9807692307692307
STOMACH,58,0.0,0.16654351395730707,0.0,0.0,0.0,0.007293166063292559,0.07901936922452574,0.03488077977650318,5.414823802879091e-32,0.05693614110350609,0.023748251222925863,0.0784313725490196,0.5705566579288366,0.5138197310611103
PANCREAS,58,0.0,0.10300417972831767,0.0,0.0,0.0,0.01696286203051742,0.2059492903759675,0.10313827275055855,9.048333199754372e-11,0.289271742105484,0.07353804487831285,0.06153846153846154,0.5698397755004457,0.9325007433838834
SPLEEN,153,0.0,0.08208839091192033,0.0,0.0,0.0,0.02263074850355135,0.1619463328197778,0.08503750785460905,4.474681398686741e-07,0.17784737050533295,0.07677951183703109,0.27564102564102566,0.5958518674849115,0.9774299312533051
KIDNEY,287,0.0,0.08249128919860628,0.0,0.0,0.0,0.056140590198485114,0.29493815097143067,0.17646668374571275,0.002752455650552685,0.35307273268699646,0.1611224408156219,0.379746835443038,0.843983416306058,0.9039903641361784
