Organ,N,ACC,GREEN,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr
GLOBAL_REPORT,1564,0.000,0.136,0.260,0.197,0.147,0.112,0.398,0.236,0.324
LUNG,1548,0.000,0.150,0.374,0.261,0.187,0.134,0.338,0.246,0.294
HEART,1352,0.000,0.090,0.147,0.119,0.098,0.082,0.429,0.205,0.479
AORTA,683,0.000,0.084,0.166,0.124,0.092,0.067,0.361,0.186,0.379
ESOPHAGUS,1286,0.000,0.104,0.156,0.130,0.112,0.098,0.439,0.228,0.467
TRACHEA,1345,0.000,0.095,0.152,0.125,0.105,0.087,0.428,0.192,0.432
RIB,48,0.000,0.038,0.098,0.059,0.036,0.022,0.219,0.133,0.286
LIVER,824,0.000,0.077,0.138,0.106,0.084,0.067,0.363,0.197,0.292
GALLBLADDER,153,0.000,0.038,0.089,0.057,0.037,0.023,0.218,0.114,0.306
STOMACH,58,0.000,0.018,0.049,0.028,0.015,0.008,0.155,0.076,0.347
PANCREAS,58,0.000,0.027,0.073,0.043,0.025,0.015,0.187,0.095,0.301
SPLEEN,153,0.000,0.042,0.095,0.065,0.044,0.028,0.233,0.125,0.373
KIDNEY,287,0.000,0.084,0.170,0.122,0.091,0.067,0.293,0.188,0.374
