Organ,N,ACC,GREEN,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1564,0.0,0.0,0.0,0.0,0.0,0.0,0.3974671012555147,0.0,0.0007479915193098713,0.0,0.0,0.0,0.0,0.0
LUNG,1548,0.0,0.0,0.0,0.0,0.0,0.0,0.32870196751605346,0.0,0.03332624581475323,0.0,0.0,0.0,0.0,0.0
HEART,1352,0.0,0.2975236568986569,0.0,0.0,0.0,0.057356232141924986,0.433695364681125,0.1841073062010172,0.00036135896787963423,0.5064314603805542,0.3287167282319286,0.09155555555555556,0.988247148348393,0.7146066858907145
AORTA,683,0.0,0.1848654395872551,0.0,0.0,0.0,0.0610032336136398,0.3509880746623312,0.20563219280456468,0.015985240680344202,0.4591935873031616,0.06767250991778227,0.017953321364452424,0.9553901135860018,0.6401227084824666
ESOPHAGUS,1286,0.0,0.27293595250438174,0.0,0.0,0.0,0.10642783273466062,0.4801386972195099,0.2444995899839858,0.0002373930111975963,0.5483969449996948,0.25651688241504605,0.02903225806451613,1.0591449125962404,0.9001319594095145
TRACHEA,1345,0.0,0.8628674691685845,0.0,0.0,0.0,0.081428933102581,0.4100245917396919,0.20130255283999554,4.4897811865857095e-05,0.5357425212860107,0.187610652572912,0.8269230769230769,1.1484435815958327,0.9826679751318215
RIB,48,0.0,0.0,0.0,0.0,0.0,0.01537613577529573,0.12285419912676017,0.0811076471968904,0.0007769846747324102,0.06163320317864418,0.03887814119431767,0.3170731707317073,0.5389349708663645,0.5569447601727665
LIVER,824,0.0,0.0,0.0,0.0,0.0,0.0,0.3698628826732512,0.0,0.0007902535146099125,0.0,0.0,0.0,0.0,0.0
GALLBLADDER,153,0.0,0.0,0.0,0.0,0.0,0.0,0.1773474336358966,0.0,0.00504681518712357,0.0,0.0,0.0,0.0,0.0
STOMACH,58,0.0,0.06465517241379311,0.0,0.0,0.0,8.62846367213411e-07,0.020306310913883945,0.009396573435476573,1.550005222451894e-15,-0.062296293675899506,0.012581883039671388,0.24242424242424243,0.5147382881550561,0.2562209461307082
PANCREAS,58,0.0,0.054474548440065676,0.0,0.0,0.0,0.017936767967151417,0.2201387799137345,0.11235427700026644,9.124847523379788e-14,0.28680863976478577,0.07730828038017867,0.06722689075630252,0.6003089697514987,0.9325007433838834
SPLEEN,153,0.0,0.11385776532835358,0.0,0.0,0.0,0.023434773976349087,0.21904279807401386,0.11924040456038472,1.3484791843821693e-05,0.28556668758392334,0.10242354487954781,0.2125,0.6322079793421547,0.9774299312533051
KIDNEY,287,0.0,0.05572009291521487,0.0,0.0,0.0,0.055954927536816745,0.2811158114865851,0.1864473175236458,0.0043141188636218325,0.3594258427619934,0.1596610588852296,0.2891566265060241,0.7626465956967949,0.9012257126033988
