Organ,N,ACC,GREEN,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1564,0.0,0.0,0.0,0.0,0.0,0.0,0.39536687963925093,0.0,0.0014271495071650603,0.0,0.0,0.0,0.0,0.0
LUNG,1548,0.0,0.0,0.0,0.0,0.0,0.0,0.27790204380846356,0.0,0.03783425425982687,0.0,0.0,0.0,0.0,0.0
HEART,1352,0.0,0.06962287999640071,0.0,0.0,0.0,0.006816340328466779,0.20946808851901746,0.09553785527286027,0.0004044385741640662,0.3655904531478882,0.02520951203915707,0.19199057714958775,0.6031600669174974,0.6339408252048901
AORTA,683,0.0,0.439473959422715,0.0,0.0,0.0,0.05413655259234354,0.34078418441266767,0.19076166966305036,0.010152409245905493,0.48174813389778137,0.0645969043709423,0.013289036544850499,0.8737479720781225,0.6274940629887115
ESOPHAGUS,1286,0.0,0.27636944876447206,0.0,0.0,0.0,0.11154541493606478,0.43354061308359976,0.2583258582295576,0.0006484349292209965,0.5776953101158142,0.23551968363762352,0.0,1.0917559454398587,0.900076420916769
TRACHEA,1345,0.0,0.591770224818552,0.0,0.0,0.0,0.08573037597533162,0.4548677692773771,0.21448125565515574,0.0013332141110864197,0.5130957365036011,0.20438178500660575,0.013131976362442548,0.9978705177005323,0.9830823946606321
RIB,48,0.0,0.0,0.0,0.0,0.0,1.841399794734974e-06,0.04519107557711651,0.03562134601834746,3.293277379265224e-05,-0.04442490264773369,0.0049803591470258144,0.27522935779816515,0.49078587354248443,0.5569447601727665
LIVER,824,0.0,0.021301433194637075,0.0,0.0,0.0,0.02661616009553575,0.25661457025603773,0.14257200638130949,0.0009917364521010432,0.27711090445518494,0.09242295323183307,0.14748887476160202,0.5974482266568671,0.9541949473188374
GALLBLADDER,153,0.0,0.08251398202378593,0.0,0.0,0.0,0.008949116715575401,0.155479116313258,0.08048680964228279,0.004651411488480723,0.23045216500759125,0.028888203469953504,0.012422360248447204,0.5748043675303793,0.9807692307692307
STOMACH,58,0.0,0.0,0.0,0.0,0.0,1.0419939989087667e-11,0.0,0.0,0.0,-0.11944158375263214,0.0,0.2465753424657534,0.4898595222750689,0.08207867897037396
PANCREAS,58,0.0,0.24973316912972085,0.0,0.0,0.0,0.032711693955573745,0.2846131751861436,0.1319716326106392,2.705996223298833e-10,0.3349151611328125,0.10145697207571971,0.07017543859649122,0.6605945099959175,0.9358905738923581
SPLEEN,153,0.0,0.1545051353874883,0.0,0.0,0.0,0.02828329465654654,0.20737647415528648,0.11735069649065966,1.8638003661001732e-05,0.27442070841789246,0.07316601584279339,0.15841584158415842,0.5904180424038202,0.9774299312533051
KIDNEY,287,0.0,0.07008047121287539,0.0,0.0,0.0,0.04360496631955365,0.29478826288815035,0.16879577312712093,0.003653640557243158,0.34741726517677307,0.1356938149332466,0.3401688781664656,0.6867020179156819,0.9035687021324527
