Organ,N,ACC,GREEN,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr
GLOBAL_REPORT,1564,0.000,0.137,0.261,0.197,0.149,0.114,0.401,0.241,0.323
LUNG,1548,0.000,0.152,0.376,0.265,0.190,0.135,0.340,0.248,0.296
HEART,1352,0.000,0.090,0.143,0.117,0.097,0.083,0.424,0.203,0.498
AORTA,683,0.000,0.083,0.164,0.120,0.089,0.066,0.348,0.187,0.390
ESOPHAGUS,1286,0.000,0.120,0.169,0.145,0.128,0.115,0.465,0.248,0.481
TRACHEA,1345,0.000,0.095,0.147,0.122,0.104,0.089,0.429,0.198,0.394
RIB,48,0.000,0.041,0.101,0.063,0.035,0.019,0.206,0.127,0.305
LIVER,824,0.000,0.078,0.138,0.107,0.085,0.068,0.373,0.197,0.294
GALLBLADDER,153,0.000,0.033,0.086,0.052,0.031,0.017,0.200,0.113,0.219
STOMACH,58,0.000,0.018,0.049,0.028,0.015,0.006,0.163,0.076,0.329
PANCREAS,58,0.000,0.031,0.080,0.048,0.029,0.018,0.204,0.105,0.340
SPLEEN,153,0.000,0.039,0.092,0.060,0.039,0.024,0.225,0.116,0.316
KIDNEY,287,0.000,0.081,0.167,0.119,0.088,0.064,0.288,0.180,0.339
