Organ,N,ACC,GREEN,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1564,0.0,0.0,0.0,0.0,0.0,0.0,0.41653384367130714,0.0,0.0013311706957329923,0.0,0.0,0.0,0.0,0.0
LUNG,1548,0.0,0.0,0.0,0.0,0.0,0.0,0.34563237866700136,0.0,0.06408077931881602,0.0,0.0,0.0,0.0,0.0
HEART,1352,0.0,0.6632995743572666,0.0,0.0,0.0,0.05217153830355686,0.43325653786888974,0.1831396986635873,0.0005386963587590886,0.5091431140899658,0.3406240586028922,0.20399579390115669,1.0285959957108264,0.7433393611457956
AORTA,683,0.0,0.15192893165074717,0.0,0.0,0.0,0.055892854709677184,0.369584225042715,0.2001192819701638,0.015367696187400193,0.4554450511932373,0.06602093706733904,0.0136986301369863,0.9700324084440473,0.6349208515959935
ESOPHAGUS,1286,0.0,0.2533455528401096,0.0,0.0,0.0,0.11168786215118223,0.4468537041889035,0.24901777908845618,0.00021727065283973665,0.5548702478408813,0.22851601005529334,0.0023952095808383233,1.013053369688544,0.8997684044117008
TRACHEA,1345,0.0,0.7605213312090635,0.0,0.0,0.0,0.07769743306545784,0.4103483585985172,0.2003988965176828,5.8455803908694905e-05,0.5268356204032898,0.20872108861124744,0.4366306027820711,1.067468978486575,0.9826679751318215
RIB,48,0.0,0.03958333333333333,0.0,0.0,0.0,0.03221618752378059,0.22920041460068674,0.14273937205522122,5.995126276551658e-09,0.23759819567203522,0.10055553864392124,0.3023255813953488,0.6535943630353276,0.5569531795946889
LIVER,824,0.0,0.19046463245492373,0.0,0.0,0.0,0.08170863594888024,0.41615941202659573,0.21141132322210326,0.0026417894657410584,0.4566360414028168,0.1859678814400199,0.09965635738831616,0.85052083758192,0.9533226661628222
GALLBLADDER,153,0.0,0.2254307783719548,0.0,0.0,0.0,0.016932266643465622,0.1984433796861945,0.10690304932749822,0.007151886591464011,0.2988263964653015,0.051653172394142736,0.059880239520958084,0.6464537503298352,0.9807692307692307
STOMACH,58,0.0,0.2831896551724138,0.0,0.0,0.0,0.0073021844910382185,0.14658328844143043,0.06427495802090039,6.058997766936407e-20,0.21409665048122406,0.05117549794039279,0.047619047619047616,0.704580781985215,0.6935456200643059
PANCREAS,58,0.0,0.22048440065681446,0.0,0.0,0.0,0.023274236857082083,0.23739258837656546,0.11326029907062783,5.1781490712562346e-14,0.31569647789001465,0.07681326595185002,0.14414414414414414,0.6054656232758167,0.9325007433838834
SPLEEN,153,0.0,0.12006691565515094,0.0,0.0,0.0,0.02902430453720636,0.2521050512782388,0.13250425754508635,5.030685929054711e-07,0.34559938311576843,0.12610850842714752,0.1566265060240964,0.6751996560749656,0.9774299312533051
KIDNEY,287,0.0,0.06380743723949299,0.0,0.0,0.0,0.0592214183291914,0.3071883553018438,0.1985946656707393,0.007236815031580449,0.39833909273147583,0.17234106337497873,0.2637571157495256,0.780011698051506,0.9031890147516626
