Organ,N,ACC,GREEN,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr,BERTScore,RadGraph,CheXbert,RadCliQ,SRR-BERT
GLOBAL,1564,0.0,0.0,0.0,0.0,0.0,0.0,0.4010254695364276,0.0,0.0005882282886551333,0.0,0.0,0.0,0.0,0.0
LUNG,1548,0.0,0.0,0.0,0.0,0.0,0.0,0.33953198573835547,0.0,0.034186226835746104,0.0,0.0,0.0,0.0,0.0
HEART,1352,0.0,0.627626940367325,0.0,0.0,0.0,0.06303327628848789,0.42403611065945984,0.20506362392963004,0.0008130571751637974,0.5086295008659363,0.31112307324387883,0.16051071591427268,1.0390942275258566,0.7283711079178383
AORTA,683,0.0,0.17991819470589598,0.0,0.0,0.0,0.0575357006266602,0.34753633424613484,0.1986393270149398,0.01213591901257107,0.45202943682670593,0.0651911259599753,0.011090573012939002,0.9490352848195505,0.6369068457957462
ESOPHAGUS,1286,0.0,0.25851199733392577,0.0,0.0,0.0,0.11075382598389619,0.4645703804405049,0.2481887359873725,0.0002969634198825586,0.5500336289405823,0.23446482065940363,0.006211180124223602,1.0414395636655047,0.8990381832714289
TRACHEA,1345,0.0,0.8275839381601463,0.0,0.0,0.0,0.07761121572498371,0.4276326559762907,0.19957791832005392,0.00019117872825904255,0.5180718898773193,0.19269447793472141,0.6147704590818364,1.1170306895130357,0.9826679751318215
RIB,48,0.0,0.005208333333333333,0.0,0.0,0.0,0.018174802362782655,0.16960636686906197,0.10714634918495124,0.004051573114537361,0.10172165185213089,0.05795426111237778,0.2222222222222222,0.5415232210318446,0.5711041229909154
LIVER,824,0.0,0.14799034905224223,0.0,0.0,0.0,0.06354789264690645,0.36212314162016274,0.19308443048440202,0.0008344532508511643,0.40971100330352783,0.16527279477265866,0.10596765197992192,0.7960622581952733,0.9526916469611834
GALLBLADDER,153,0.0,0.11606753812636166,0.0,0.0,0.0,0.015926212754208732,0.2003391847718276,0.11399460419566648,0.0018249723477127466,0.27676141262054443,0.05290590387163589,0.08977556109725686,0.6202055901269288,0.9807692307692307
STOMACH,58,0.0,0.0,0.0,0.0,0.0,1.0419939989087667e-11,0.0,0.0,0.0,-0.11944158375263214,0.0,0.2465753424657534,0.4898595222750689,0.08207867897037396
PANCREAS,58,0.0,0.07820197044334977,0.0,0.0,0.0,0.014680582515651264,0.19813954995759267,0.10211098260758952,4.066049747666326e-09,0.26190268993377686,0.06256085995356289,0.05128205128205128,0.5575663131737618,0.9325007433838834
SPLEEN,153,0.0,0.09337068160597571,0.0,0.0,0.0,0.020897676517739813,0.18748815349249084,0.09893865594173017,1.5667689073082484e-06,0.2512553632259369,0.08702562023983708,0.2277580071174377,0.6210646507052893,0.9774299312533051
KIDNEY,287,0.0,0.05943117084232066,0.0,0.0,0.0,0.05486049253926576,0.2673870708961555,0.1761002045742625,0.002717652138357118,0.34383639693260193,0.157526474219512,0.32570659488559894,0.7788659354231492,0.9032275232724931
