Label,Precision,Recall,F1,Support
Medical material,0.0,0.0,0.0,158
Arterial wall calcification,0.2834541858932103,0.9885057471264368,0.44057377049180335,435
Cardiomegaly,0.29846938775510207,0.7134146341463414,0.420863309352518,164
Pericardial effusion,0.0,0.0,0.0,110
Coronary artery wall calcification,0.28663967611336033,0.9123711340206185,0.43622920517560076,388
Hiatal hernia,0.26,0.05963302752293578,0.09701492537313434,218
Lymphadenopathy,0.0,0.0,0.0,398
Emphysema,0.3181818181818182,0.022950819672131147,0.04281345565749235,305
Atelectasis,0.6190476190476191,0.03571428571428571,0.06753246753246753,364
Lung nodule,0.4868421052631579,0.052556818181818184,0.09487179487179488,704
Lung opacity,0.0,0.0,0.0,606
Pulmonary fibrotic sequela,0.125,0.00468384074941452,0.009029345372460496,427
Pleural effusion,1.0,0.042328042328042326,0.08121827411167512,189
Mosaic attenuation pattern,0.25,0.007936507936507936,0.015384615384615385,126
Peribronchial thickening,0.0,0.0,0.0,175
Consolidation,0.0,0.0,0.0,298
Bronchiectasis,0.0,0.0,0.0,169
Interlobular septal thickening,0.0,0.0,0.0,124
Weighted Average,0.23873429913613625,0.18327734229189996,0.1076243504673254,5358
