abnormality,auc,acc,spec,sens,f1,prec
Emphysema,0.7133374132475683,0.6656010230179028,0.664813343923749,0.6688524590163935,0.6988205882828712,0.3258785942492013
Atelectasis,0.634544413919414,0.7525575447570333,0.8883333333333333,0.30494505494505497,0.7342268430971447,0.4530612244897959
Lung nodule,0.5690390459830867,0.5575447570332481,0.586046511627907,0.5227272727272727,0.5580405052046393,0.5082872928176796
Lung opacity,0.5314108394137953,0.5383631713554987,0.5678496868475992,0.49174917491749176,0.5434091735619785,0.41853932584269665
Pulmonary fibrotic sequela,0.6363988391325214,0.629156010230179,0.6578715919085312,0.5526932084309133,0.6463700700203692,0.3776
Pleural effusion,0.9102260702260702,0.8670076726342711,0.8676363636363637,0.8624338624338624,0.8824345199260084,0.47246376811594204
Mosaic attenuation pattern,0.6708391284191005,0.6847826086956522,0.6912378303198887,0.6111111111111112,0.7559114209867176,0.14779270633397312
Peribronchial thickening,0.6327182968219686,0.6445012787723785,0.6573074154067674,0.5428571428571428,0.7093058957105299,0.16637478108581435
Consolidation,0.8033148849094013,0.7359335038363172,0.7345971563981043,0.7416107382550335,0.7608848368027875,0.39676840215439857
Bronchiectasis,0.6159148268329411,0.5843989769820972,0.578494623655914,0.6331360946745562,0.6626284180091182,0.1539568345323741
Interlobular septal thickening,0.7593862007168459,0.7257033248081841,0.7277777777777777,0.7016129032258065,0.7871634710900184,0.18162839248434237
Cardiomegaly,0.7045405052264808,0.7531969309462916,0.775,0.5670731707317073,0.7940566311842564,0.22794117647058823
Pericardial effusion,0.7150962861072904,0.8005115089514067,0.8184319119669876,0.5636363636363636,0.8419228363187741,0.1901840490797546
Coronary artery wall calcification,0.48544340416579007,0.569693094629156,0.6224489795918368,0.4097938144329897,0.5947249603665866,0.263681592039801
Hiatal hernia,0.5298778576005017,0.530690537084399,0.5312035661218425,0.5275229357798165,0.601961100784086,0.15415549597855227
Arterial wall calcification,0.6802418985370026,0.6732736572890026,0.6882196634189548,0.6344827586206897,0.6876658135536537,0.4394904458598726
